District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Abby Kelley Foster Charter Public (District),04450000,     713,  18.9,"      1,425",  54.3,   3.4,  19.7,  16.8,   0.6,   0.1,   5.1
Abington,00010000,"   1,017",  19.8,"      2,178",   5.0,   2.3,  11.5,  78.7,   0.5,   0.1,   2.0
Academy Of the Pacific Rim Charter Public (District),04120000,     201,  19.7,        538,  62.6,   0.7,  28.4,   6.7,   0.0,   0.2,   1.3
Acton-Boxborough,06000000,"   2,368",  17.1,"      5,246",   3.2,  33.6,   6.5,  51.6,   0.1,   0.1,   5.0
Acushnet,00030000,     400,  15.2,        913,   1.2,   1.0,   4.2,  89.8,   0.2,   0.0,   3.6
Advanced Math and Science Academy Charter (District),04300000,     490,  18.6,        960,   1.9,  17.2,   7.2,  67.6,   0.0,   0.0,   6.2
Agawam,00050000,"   2,666",  13.7,"      3,476",   2.2,   3.4,  10.9,  80.3,   0.0,   0.0,   3.1
Alma del Mar Charter School (District),04090000,     236,  24.1,        791,  13.8,   0.1,  60.7,  20.9,   0.6,   0.0,   3.9
Amesbury,00070000,"   1,115",  15.1,"      1,869",   1.9,   1.2,   9.7,  82.6,   0.2,   0.1,   4.3
Amherst,00080000,     392,  15.2,"      1,014",  10.1,  10.9,  22.7,  48.4,   0.4,   0.2,   7.4
Amherst-Pelham,06050000,     995,  12.8,"      1,280",   8.1,   9.1,  18.7,  54.6,   0.0,   0.0,   9.5
Andover,00090000,"   3,729",  12.3,"      5,614",   2.7,  19.0,   7.9,  66.5,   0.1,   0.1,   3.7
Argosy Collegiate Charter School (District),35090000,     244,  21.8,        578,  13.7,   2.3,  25.4,  52.6,   0.5,   0.0,   5.5
Arlington,00100000,"   3,172",  15.7,"      5,765",   3.5,  12.9,   6.3,  69.8,   0.1,   0.1,   7.3
Ashburnham-Westminster,06100000,"   1,230",  17.4,"      2,247",   1.2,   1.0,   5.5,  89.3,   0.1,   0.0,   3.0
Ashland,00140000,"   1,741",  15.4,"      2,776",   3.0,  15.9,  14.7,  62.4,   0.4,   0.0,   3.5
Assabet Valley Regional Vocational Technical,08010000,     673,  12.3,"      1,138",   1.7,   0.5,  22.3,  73.0,   0.1,   0.0,   2.4
Athol-Royalston,06150000,     685,  18.6,"      1,485",   1.9,   1.0,  11.5,  81.4,   0.1,   0.0,   4.2
Atlantis Charter (District),04910000,     542,  13.1,"      1,290",   5.4,   2.2,  15.2,  73.3,   0.1,   0.1,   3.9
Attleboro,00160000,"   3,057",  17.1,"      5,768",   6.9,   4.6,  15.6,  66.3,   0.2,   0.1,   6.4
Auburn,00170000,"   1,520",  16.2,"      2,526",   2.5,   4.7,   9.7,  79.9,   0.1,   0.0,   3.1
Avon,00180000,     356,  13.4,        696,  30.0,   4.5,  12.4,  45.8,   0.6,   0.0,   6.8
Ayer Shirley School District,06160000,     950,  16.4,"      1,615",   3.8,   3.2,  11.1,  74.9,   0.7,   0.3,   6.0
Barnstable,00200000,"   3,180",  10.1,"      4,598",   8.6,   2.1,  20.6,  61.4,   0.4,   0.1,   6.9
Baystate Academy Charter Public School (District),35020000,     369,  13.3,        470,  27.7,   0.9,  60.0,   9.8,   0.0,   0.4,   1.3
Bedford,00230000,"   1,162",  14.9,"      2,621",   6.5,  19.8,   7.3,  60.6,   0.0,   0.0,   5.8
Belchertown,00240000,"   1,189",  15.8,"      2,172",   1.7,   1.2,   6.5,  86.7,   0.3,   0.2,   3.6
Bellingham,00250000,     787,  16.4,"      2,004",   2.2,   3.0,   7.4,  84.4,   0.1,   0.3,   2.7
Belmont,00260000,"   2,062",  18.9,"      4,439",   3.4,  21.3,   4.0,  63.0,   0.1,   0.1,   8.2
Benjamin Banneker Charter Public (District),04200000,     117,  12.6,        338,  78.4,   1.8,  11.2,   2.7,   0.3,   0.6,   5.0
Benjamin Franklin Classical Charter Public (District),04470000,     224,  26.0,        772,   3.0,  19.2,   4.7,  68.4,   0.4,   0.3,   4.2
Berkley,00270000,     468,  12.7,        879,   0.8,   0.2,   2.5,  91.8,   0.1,   0.1,   4.4
Berkshire Arts and Technology Charter Public (District),04140000,     141,  18.5,        366,  12.3,   2.7,  12.3,  66.4,   0.3,   0.0,   6.0
Berkshire Hills,06180000,     763,  10.9,"      1,169",   1.6,   3.0,  11.3,  77.9,   0.2,   0.3,   5.7
Berlin-Boylston,06200000,     686,  15.7,"      1,057",   1.5,   4.5,   7.5,  82.5,   0.3,   0.1,   3.6
Beverly,00300000,"   1,732",  16.4,"      4,655",   3.5,   2.5,  14.9,  75.0,   0.1,   0.0,   4.0
Billerica,00310000,"   3,002",  13.2,"      4,638",   5.3,   9.1,   8.1,  74.1,   0.1,   0.1,   3.3
Blackstone Valley Regional Vocational Technical,08050000,     796,  17.4,"      1,230",   1.2,   2.0,   7.9,  86.4,   0.0,   0.1,   2.4
Blackstone-Millville,06220000,     887,  14.6,"      1,590",   1.8,   0.8,   8.4,  84.7,   0.0,   0.0,   4.4
Blue Hills Regional Vocational Technical,08060000,     329,  19.1,        874,  22.1,   2.3,  15.1,  54.4,   0.7,   0.0,   5.5
Boston,00350000,"  27,831",  16.2,"     49,310",  29.5,   9.0,  42.8,  14.8,   0.3,   0.2,   3.5
Boston Collegiate Charter (District),04490000,     212,  24.7,        719,  34.6,   1.8,  17.5,  42.7,   0.1,   0.1,   3.1
Boston Day and Evening Academy Charter (District),04240000,     415,  14.7,        437,  47.4,   0.7,  45.5,   4.1,   0.9,   0.0,   1.4
Boston Green Academy Horace Mann Charter School (District),04110000,     270,  16.4,        501,  44.3,   1.8,  43.9,   6.6,   0.2,   0.4,   2.8
Boston Preparatory Charter Public (District),04160000,     207,  19.4,        663,  68.2,   0.5,  27.3,   1.1,   0.0,   0.2,   2.9
Boston Renaissance Charter Public (District),04810000,     500,  16.5,        951,  60.3,   0.1,  34.6,   1.6,   0.1,   0.0,   3.4
Bourne,00360000,     999,  15.2,"      1,656",   1.8,   1.9,   5.4,  85.9,   1.2,   0.0,   3.9
Boxford,00380000,     352,  13.9,        678,   0.3,   3.5,   3.5,  87.9,   0.0,   0.0,   4.7
Braintree,00400000,"   3,180",  14.8,"      5,517",   5.3,  23.6,   5.2,  63.6,   0.2,   0.2,   2.1
Brewster,00410000,     322,  13.9,        429,   3.3,   0.7,   8.6,  81.1,   0.0,   0.0,   6.3
Bridge Boston Charter School (District),04170000,     125,  15.3,        335,  66.0,   0.9,  26.6,   3.0,   0.0,   0.3,   3.3
Bridgewater-Raynham,06250000,"   1,866",  18.8,"      5,353",   8.0,   2.3,   3.6,  80.8,   0.1,   0.1,   5.1
Brimfield,00430000,      81,  18.5,        260,   1.9,   1.2,   5.0,  91.5,   0.4,   0.0,   0.0
Bristol County Agricultural,09100000,     228,  18.7,        448,   2.2,   0.5,   4.5,  91.1,   0.0,   0.2,   1.6
Bristol-Plymouth Regional Vocational Technical,08100000,"   1,036",  18.9,"      1,310",   3.6,   1.0,   6.0,  85.3,   0.4,   0.0,   3.7
Brockton,00440000,"   7,619",  18.3,"     15,418",  60.9,   1.9,  17.0,  15.3,   0.3,   0.2,   4.5
Brooke Charter School (District),04280000,     937,  17.3,"      2,060",  52.4,   1.8,  38.9,   4.0,   0.2,   0.1,   2.6
Brookfield,00450000,      85,  16.1,        259,   0.4,   0.8,   5.4,  89.2,   0.0,   0.0,   4.3
Brookline,00460000,"   4,507",  14.5,"      6,834",   6.5,  19.3,  11.2,  52.0,   0.0,   0.1,  11.0
Burlington,00480000,"   1,964",  14.1,"      3,474",   7.6,  17.6,   7.7,  62.9,   0.2,   0.0,   4.0
Cambridge,00490000,"   4,599",  11.9,"      6,649",  23.6,  11.9,  14.2,  40.1,   0.2,   0.1,   9.9
Canton,00500000,"   2,326",  16.2,"      3,193",  11.2,  11.4,   6.0,  64.8,   0.1,   0.2,   6.4
Cape Cod Lighthouse Charter (District),04320000,     191,  14.0,        250,   0.8,   1.2,   4.4,  90.4,   0.4,   0.0,   2.8
Cape Cod Regional Vocational Technical,08150000,     408,  13.3,        627,   8.3,   0.5,  13.6,  71.1,   1.3,   0.3,   4.9
Carlisle,00510000,     380,  13.7,        589,   0.5,  12.9,   5.8,  72.0,   0.0,   0.3,   8.5
Carver,00520000,"   1,169",  10.5,"      1,469",   2.4,   0.3,   2.0,  93.7,   0.3,   0.1,   1.3
Central Berkshire,06350000,     713,  15.3,"      1,498",   0.5,   0.7,   4.5,  89.7,   0.2,   0.0,   4.4
Chelmsford,00560000,"   2,237",  19.1,"      4,925",   4.0,  16.7,   7.7,  67.7,   0.2,   0.1,   3.6
Chelsea,00570000,"   2,758",  14.6,"      6,112",   4.3,   0.1,  88.1,   6.1,   0.2,   0.0,   1.2
Chesterfield-Goshen,06320000,      52,  15.1,        119,   0.8,   0.0,   2.5,  94.1,   1.7,   0.0,   0.8
Chicopee,00610000,"   3,270",  14.1,"      6,855",   4.6,   2.0,  41.2,  48.7,   0.0,   0.1,   3.3
Christa McAuliffe Charter Public (District),04180000,     173,  20.7,        400,   7.3,   9.8,  32.0,  45.3,   0.3,   0.0,   5.5
City on a Hill Charter Public School Circuit Street (District),04370000,      89,  18.3,        275,  65.1,   0.0,  32.4,   1.8,   0.0,   0.0,   0.7
Clarksburg,00630000,      98,  16.1,        192,   0.0,   0.5,   2.6,  95.3,   0.0,   0.0,   1.6
Clinton,00640000,     850,  15.8,"      1,848",   2.9,   1.1,  33.3,  60.3,   0.0,   0.1,   2.4
Codman Academy Charter Public (District),04380000,     127,  16.9,        343,  77.6,   0.0,  21.0,   0.3,   0.3,   0.0,   0.9
Cohasset,00650000,     901,  16.3,"      1,444",   2.8,   1.9,   1.4,  91.8,   0.2,   0.0,   1.9
Collegiate Charter School of Lowell (District),35030000,     335,  27.1,"      1,003",  20.3,  27.8,  32.5,  15.4,   0.5,   0.0,   3.5
Community Charter School of Cambridge (District),04360000,      84,  21.1,        306,  70.9,   4.3,  15.0,   4.9,   0.3,   0.0,   4.6
Community Day Charter Public School - Gateway (District),04260000,     120,  20.0,        399,   1.3,   0.5,  95.5,   2.3,   0.5,   0.0,   0.0
Community Day Charter Public School - Prospect (District),04400000,     114,  21.1,        400,   0.8,   0.0,  97.3,   1.8,   0.3,   0.0,   0.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,     120,  20.4,        404,   1.2,   1.0,  94.6,   2.7,   0.0,   0.0,   0.5
Concord,00670000,"   1,358",  16.4,"      2,027",   4.7,   7.7,   7.1,  73.9,   0.1,   0.2,   6.5
Concord-Carlisle,06400000,     536,  19.5,"      1,316",   4.6,   7.8,   5.0,  76.6,   0.2,   0.0,   5.9
Conservatory Lab Charter (District),04390000,     174,  16.8,        447,  48.6,   1.8,  41.4,   5.2,   0.2,   0.0,   2.9
Conway,00680000,      93,  14.5,        130,   0.8,   0.0,   4.6,  92.3,   0.0,   0.0,   2.3
Danvers,00710000,"   2,116",  16.8,"      3,327",   2.3,   2.4,   9.1,  83.6,   0.1,   0.0,   2.6
Dartmouth,00720000,"   1,905",  16.4,"      3,431",   1.8,   0.6,   5.5,  85.5,   0.0,   0.0,   6.7
Dedham,00730000,"   1,236",  14.7,"      2,564",   7.4,   2.2,  16.4,  68.6,   0.0,   0.0,   5.3
Deerfield,00740000,     265,  13.4,        315,   0.3,   0.3,   6.7,  84.4,   0.0,   0.0,   8.3
Dennis-Yarmouth,06450000,"   1,454",  12.6,"      2,788",  10.4,   2.7,  13.2,  65.0,   1.9,   0.2,   6.6
Dighton-Rehoboth,06500000,"   1,406",  18.8,"      2,616",   1.6,   1.3,   4.4,  88.8,   0.1,   0.0,   3.7
Douglas,00770000,     564,  18.1,"      1,181",   0.7,   0.8,   5.3,  89.8,   0.0,   0.2,   3.3
Dover,00780000,     164,  17.4,        491,   3.3,  14.9,   4.1,  72.7,   0.0,   0.0,   5.1
Dover-Sherborn,06550000,     679,  16.9,"      1,181",   3.1,  11.6,   5.0,  73.8,   0.3,   0.0,   6.3
Dracut,00790000,"   2,220",  14.5,"      3,675",   7.4,   7.9,  12.3,  70.3,   0.3,   0.0,   1.9
Dudley Street Neighborhood Charter School (District),04070000,      15,  21.0,        277,  61.7,   0.7,  33.6,   2.9,   0.4,   0.0,   0.7
Dudley-Charlton Reg,06580000,"   1,629",  17.1,"      3,474",   1.7,   1.0,   9.7,  84.3,   0.2,   0.1,   3.1
Duxbury,00820000,"   1,444",  19.0,"      2,810",   0.5,   1.3,   2.6,  91.7,   0.1,   0.0,   3.8
East Bridgewater,00830000,"   1,107",  19.0,"      2,126",   4.5,   0.8,   3.7,  87.5,   0.5,   0.1,   3.0
East Longmeadow,00870000,"   1,288",  17.4,"      2,426",   3.5,   5.9,   9.8,  77.4,   0.0,   0.0,   3.4
Eastham,00850000,     190,  10.2,        194,   8.3,   2.1,   5.7,  76.3,   0.0,   0.0,   7.7
Easthampton,00860000,     521,  20.2,"      1,453",   1.4,   3.2,  14.0,  77.1,   0.3,   0.1,   3.9
Easton,00880000,"   1,257",  18.0,"      3,454",   7.3,   3.4,   6.9,  78.1,   0.4,   0.1,   3.9
Edgartown,00890000,     353,  13.4,        393,   3.3,   0.5,  20.9,  68.2,   2.5,   0.0,   4.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     212,  19.9,        401,  37.7,   1.3,  55.6,   2.7,   0.3,   0.0,   2.5
Erving,00910000,      36,  12.4,        113,   0.0,   0.0,   6.2,  84.1,   0.0,   0.0,   9.7
Essex North Shore Agricultural and Technical School District,08170000,"   1,150",  16.9,"      1,566",   1.6,   1.7,  13.2,  79.3,   0.3,   0.1,   3.9
Everett,00930000,"   3,499",  20.0,"      7,204",  14.9,   5.5,  60.2,  17.6,   0.3,   0.1,   1.5
Excel Academy Charter (District),04100000,     366,  24.3,"      1,398",   6.0,   0.9,  79.5,  11.8,   0.7,   0.4,   0.6
Fairhaven,00940000,"   1,085",   8.2,"      1,713",   2.6,   1.9,   5.6,  85.6,   0.8,   0.0,   3.6
Fall River,00950000,"   5,358",  14.3,"     10,333",   9.5,   3.5,  30.0,  48.0,   0.1,   0.1,   8.9
Falmouth,00960000,"   1,717",  14.8,"      3,019",   5.1,   1.8,   7.6,  78.0,   0.9,   0.0,   6.6
Farmington River Reg,06620000,      76,  13.8,        118,   0.0,   0.0,   4.2,  95.8,   0.0,   0.0,   0.0
Fitchburg,00970000,"   2,455",  18.6,"      5,193",   6.3,   4.3,  55.9,  25.8,   0.0,   0.0,   7.7
Florida,00980000,      89,   9.2,         86,   2.3,   0.0,   0.0,  97.7,   0.0,   0.0,   0.0
Four Rivers Charter Public (District),04130000,     187,  17.2,        215,   0.9,   1.4,   7.4,  83.3,   0.5,   0.0,   6.5
Foxborough,00990000,"   1,332",  16.7,"      2,426",   6.7,   4.5,   6.9,  78.1,   0.4,   0.1,   3.3
Foxborough Regional Charter (District),04460000,     687,  20.2,"      1,687",  51.7,   9.7,   6.1,  27.2,   0.1,   0.2,   5.0
Framingham,01000000,"   6,754",  12.4,"      8,862",   6.9,   4.4,  37.9,  46.3,   0.1,   0.1,   4.5
Francis W. Parker Charter Essential (District),04780000,     252,  16.6,        391,   1.8,   2.6,   4.1,  87.2,   0.0,   0.0,   4.4
Franklin,01010000,"   2,707",  15.4,"      4,847",   2.1,   6.1,   4.9,  84.1,   0.1,   0.6,   2.0
Franklin County Regional Vocational Technical,08180000,     250,  13.0,        543,   0.7,   0.0,   6.8,  89.0,   0.2,   0.7,   2.6
Freetown-Lakeville,06650000,"   1,005",  17.0,"      2,603",   2.1,   0.7,   2.3,  92.4,   0.1,   0.0,   2.5
Frontier,06700000,     529,  12.0,        649,   2.5,   2.9,   6.6,  83.8,   0.0,   0.2,   4.0
Gardner,01030000,     700,  16.7,"      2,148",   2.9,   2.3,  24.6,  62.3,   0.1,   0.0,   7.7
Gateway,06720000,     555,  12.6,        758,   0.5,   0.3,   6.1,  91.3,   0.3,   0.1,   1.5
Georgetown,01050000,     623,  14.9,"      1,223",   0.8,   1.0,   2.4,  93.7,   0.0,   0.2,   2.0
Gill-Montague,06740000,     519,  13.5,        845,   1.5,   0.4,  15.2,  76.0,   0.1,   0.2,   6.6
Global Learning Charter Public (District),04960000,     347,  16.9,        503,  10.7,   1.4,  46.7,  35.8,   0.6,   0.0,   4.8
Gloucester,01070000,"   1,446",  13.1,"      2,691",   1.8,   1.2,  12.9,  79.7,   0.3,   0.3,   3.8
Gosnold,01090000,      10,   2.8,          6,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,948",  16.0,"      3,152",   2.2,  12.6,   6.0,  76.0,   0.2,   0.1,   2.9
Granby,01110000,     390,  14.1,        715,   0.1,   1.3,  10.4,  83.9,   0.3,   0.0,   4.1
Greater Fall River Regional Vocational Technical,08210000,     860,  16.0,"      1,439",   3.3,   2.2,  12.2,  75.5,   0.7,   0.0,   6.1
Greater Lawrence Regional Vocational Technical,08230000,"   1,787",  13.7,"      1,629",   1.2,   1.2,  82.0,  15.4,   0.1,   0.1,   0.1
Greater Lowell Regional Vocational Technical,08280000,"   1,444",  17.9,"      2,286",   5.2,  17.2,  36.0,  38.4,   0.2,   0.0,   3.1
Greater New Bedford Regional Vocational Technical,08250000,"   1,986",  15.1,"      2,106",   8.0,   1.1,  25.4,  59.3,   0.4,   0.1,   5.8
Greenfield,01140000,     722,  16.3,"      1,556",   3.0,   1.4,  20.4,  69.5,   0.3,   0.0,   5.4
Greenfield Commonwealth Virtual District,39010000,     340,  18.6,"      1,002",   7.4,   4.5,  20.9,  59.8,   0.1,   0.3,   7.1
Groton-Dunstable,06730000,"   1,099",  16.8,"      2,274",   1.1,   7.1,   3.5,  84.7,   0.3,   0.1,   3.3
Hadley,01170000,     399,  16.2,        507,   4.1,   4.5,   9.7,  75.9,   0.4,   2.4,   3.0
Halifax,01180000,     274,  17.9,        568,   1.4,   0.0,   6.0,  89.6,   0.4,   0.0,   2.6
Hamilton-Wenham,06750000,"   1,221",  11.8,"      1,683",   0.5,   3.7,   5.2,  87.8,   0.0,   0.2,   2.7
Hampden Charter School of Science East (District),04990000,     252,  19.0,        536,  30.8,   2.2,  36.9,  26.1,   0.6,   0.0,   3.4
Hampden Charter School of Science West (District),35160000,     162,  17.4,        327,  16.2,   1.2,  33.9,  47.1,   0.0,   0.0,   1.5
Hampden-Wilbraham,06800000,"   1,154",  17.9,"      2,892",   3.0,   2.4,   8.6,  82.4,   0.2,   0.1,   3.4
Hampshire,06830000,     576,  11.2,        684,   0.3,   1.3,   4.1,  91.2,   0.2,   0.0,   2.9
Hancock,01210000,      76,   7.0,         56,   3.6,   3.6,   1.8,  89.3,   0.0,   0.0,   1.8
Hanover,01220000,"   1,468",  17.7,"      2,641",   1.3,   2.3,   2.4,  93.3,   0.0,   0.0,   0.6
Harvard,01250000,     600,  14.2,"      1,008",   2.4,  12.6,   4.5,  75.9,   0.0,   0.0,   4.7
Hatfield,01270000,     293,  12.1,        394,   0.3,   1.0,   4.3,  92.4,   0.0,   0.0,   2.0
Haverhill,01280000,"   3,998",  17.2,"      7,848",   5.2,   1.8,  40.9,  49.7,   0.2,   0.1,   2.1
Hawlemont,06850000,      39,  15.5,        124,   0.0,   0.0,   4.8,  90.3,   0.8,   0.0,   4.0
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      64,  14.7,        189,  75.7,   0.0,  22.2,   1.1,   0.0,   0.5,   0.5
Hill View Montessori Charter Public (District),04550000,     122,  20.7,        304,   5.3,   0.3,  29.3,  61.2,   0.0,   0.0,   4.0
Hilltown Cooperative Charter Public (District),04500000,      53,  25.7,        218,   0.9,   2.8,   3.2,  79.8,   0.0,   0.0,  13.3
Hingham,01310000,"   2,293",  13.4,"      3,941",   1.9,   2.9,   3.6,  88.2,   0.1,   0.0,   3.4
Holbrook,01330000,     695,  15.3,"      1,281",  21.6,   5.9,  14.4,  50.1,   0.3,   0.0,   7.7
Holland,01350000,      79,  15.3,        202,   1.0,   1.5,   7.9,  87.1,   0.5,   0.0,   2.0
Holliston,01360000,"   1,210",  21.7,"      2,776",   1.2,   9.6,   5.4,  80.6,   0.3,   0.2,   2.8
Holyoke,01370000,"   2,310",  17.1,"      5,095",   3.3,   0.6,  80.8,  13.9,   0.1,   0.0,   1.4
Holyoke Community Charter (District),04530000,     184,  22.8,        701,   0.7,   1.0,  92.7,   3.7,   0.0,   0.0,   1.9
Hoosac Valley Regional,06030000,     565,  14.6,        980,   3.0,   0.6,   3.0,  91.1,   0.2,   0.0,   2.1
Hopedale,01380000,     733,  12.8,"      1,094",   1.1,   1.8,   9.5,  82.5,   0.2,   0.2,   4.8
Hopkinton,01390000,"   2,249",  19.7,"      3,974",   0.7,  24.1,   4.1,  66.6,   0.3,   0.0,   4.2
Hudson,01410000,"   1,414",  15.4,"      2,432",   2.3,   1.6,  15.3,  77.8,   0.2,   0.0,   2.9
Hull,01420000,     525,  10.1,        812,   1.5,   1.4,   4.3,  90.3,   0.1,   0.0,   2.5
Innovation Academy Charter (District),04350000,     658,  12.4,        787,   8.3,   8.5,  11.2,  67.1,   0.1,   0.0,   4.8
Ipswich,01440000,"   1,017",  15.1,"      1,604",   1.3,   1.3,   7.1,  86.3,   0.1,   0.0,   4.0
KIPP Academy Boston Charter School (District),04630000,     127,  31.9,        620,  65.2,   0.0,  32.9,   0.5,   0.5,   0.0,   1.0
KIPP Academy Lynn Charter (District),04290000,     483,  24.3,"      1,611",  18.3,   3.3,  69.9,   5.7,   0.2,   0.1,   2.6
King Philip,06900000,     815,  18.0,"      1,943",   2.3,   2.6,   4.6,  87.8,   0.2,   0.0,   2.5
Kingston,01450000,     402,  19.9,"      1,028",   0.5,   0.6,   2.5,  95.3,   0.3,   0.0,   0.8
Lawrence,01490000,"   6,805",  17.9,"     13,204",   1.3,   1.2,  93.8,   3.2,   0.0,   0.0,   0.4
Lawrence Family Development Charter (District),04540000,     406,  19.1,        795,   0.4,   0.1,  98.6,   0.9,   0.0,   0.0,   0.0
Learning First Charter Public School (District),04860000,     234,  24.7,        666,  45.8,   0.2,  45.8,   6.2,   0.0,   0.0,   2.1
Lee,01500000,     686,   8.2,        673,   0.9,   2.8,   8.6,  84.3,   0.3,   0.0,   3.1
Leicester,01510000,     933,  13.7,"      1,387",   5.6,   3.1,  13.5,  74.5,   0.1,   0.0,   3.2
Lenox,01520000,     569,  12.1,        744,   0.5,   5.0,   9.3,  80.0,   0.0,   0.3,   5.0
Leominster,01530000,"   2,363",  19.6,"      5,969",   8.8,   3.4,  39.0,  44.4,   0.1,   0.1,   4.4
Leverett,01540000,      57,  16.9,        118,   0.0,   0.0,   2.5,  89.0,   0.0,   0.0,   8.5
Lexington,01550000,"   3,443",  17.4,"      6,945",   3.9,  41.9,   4.8,  41.8,   0.1,   0.0,   7.5
Libertas Academy Charter School (District),35140000,      80,  18.7,        262,  14.5,   0.8,  80.2,   2.3,   0.8,   0.0,   1.5
Lincoln,01570000,     275,  21.6,"      1,029",  10.0,   5.1,  17.6,  55.1,   0.2,   0.6,  11.5
Lincoln-Sudbury,06950000,"   1,138",  17.8,"      1,522",   5.3,   4.3,   5.3,  77.3,   0.1,   0.1,   7.7
Littleton,01580000,     807,  17.6,"      1,578",   0.9,  12.4,   3.2,  80.8,   0.2,   0.2,   2.3
Longmeadow,01590000,"   1,566",  15.5,"      2,765",   2.6,  10.5,   5.8,  76.6,   0.0,   0.1,   4.4
Lowell,01600000,"   8,901",  18.1,"     14,364",   8.1,  27.9,  35.6,  24.4,   0.0,   0.0,   4.0
Lowell Community Charter Public (District),04560000,     234,  20.6,        796,  24.5,  18.2,  48.7,   4.7,   0.0,   0.0,   3.9
Lowell Middlesex Academy Charter (District),04580000,     101,  11.3,         81,   3.7,   7.4,  39.5,  39.5,   0.0,   0.0,   9.9
Ludlow,01610000,"   1,596",  11.3,"      2,402",   1.9,   0.7,  12.9,  80.8,   0.0,   0.1,   3.5
Lunenburg,01620000,     890,  17.0,"      1,595",   2.0,   1.5,   9.5,  83.4,   0.3,   0.6,   2.7
Lynn,01630000,"   5,093",  15.4,"     12,825",   8.2,   7.5,  67.9,  13.0,   0.3,   0.0,   3.1
Lynnfield,01640000,     861,  17.6,"      2,179",   1.9,   6.9,   5.8,  82.2,   0.0,   0.0,   3.2
MATCH Charter Public School (District),04690000,     357,  19.9,"      1,220",  48.0,   0.5,  46.8,   1.5,   0.4,   0.3,   2.5
