District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District),04450000,  97.0,   5.0,  14.0,   6.5,   2.6
Abington,00010000,  90.5,  15.7,  46.5,  29.5,  12.9
Academy Of the Pacific Rim Charter Public (District),04120000,  92.8,  12.6,  30.5,  17.3,  27.2
Acton-Boxborough,06000000,  97.7,   3.9,   9.0,   4.1,   0.1
Acushnet,00030000,  96.9,   5.1,  15.4,   6.6,   6.0
Advanced Math and Science Academy Charter (District),04300000,  96.4,   6.0,  17.5,   6.7,   0.0
Agawam,00050000,  92.8,  11.8,  38.8,  22.8,  10.1
Alma del Mar Charter School (District),04090000,  92.7,  12.6,  45.4,  24.1,   2.8
Amesbury,00070000,  94.5,   9.3,  29.2,  16.3,   4.5
Amherst,00080000,  94.5,   8.7,  23.2,  15.7,   1.3
Amherst-Pelham,06050000,  91.9,  13.4,  25.6,  18.4,   0.5
Andover,00090000,  96.5,   5.9,  16.4,   7.3,   1.2
Argosy Collegiate Charter School (District),35090000,  94.3,   9.5,  29.2,  16.7,   1.9
Arlington,00100000,  96.9,   5.1,  13.1,   5.5,   1.2
Ashburnham-Westminster,06100000,  95.5,   7.5,  21.5,   9.9,   8.1
Ashland,00140000,  94.8,   8.6,  29.2,  16.1,   5.7
Assabet Valley Regional Vocational Technical,08010000,  93.2,  11.5,  37.9,  21.3,  15.1
Athol-Royalston,06150000,  92.7,  11.6,  36.6,  22.0,  11.3
Atlantis Charter (District),04910000,  94.5,   9.4,  28.8,  16.7,  26.9
Attleboro,00160000,  90.8,  15.0,  40.5,  27.6,  11.5
Auburn,00170000,  94.4,   9.3,  27.1,  15.6,   0.0
Avon,00180000,  96.6,   5.5,  17.0,   7.9,   8.9
Ayer Shirley School District,06160000,  93.9,  10.0,  33.9,  18.7,   9.2
Barnstable,00200000,  91.0,  14.5,  45.3,  30.4,  16.6
Baystate Academy Charter Public School (District),35020000,  92.5,  13.1,  42.2,  21.9,   0.0
Bedford,00230000,  97.2,   4.8,  12.2,   5.2,   1.4
Belchertown,00240000,  94.6,   8.9,  26.8,  15.8,  20.8
Bellingham,00250000,  94.2,   9.6,  27.8,  16.5,   7.6
Belmont,00260000,  97.4,   4.3,  11.0,   5.1,   2.0
Benjamin Banneker Charter Public (District),04200000,  96.5,   6.1,  19.2,   8.7,   0.6
Benjamin Franklin Classical Charter Public (District),04470000,  97.5,   4.1,  10.0,   3.5,   1.4
Berkley,00270000,  96.4,   5.9,  19.0,   7.2,  16.4
Berkshire Arts and Technology Charter Public (District),04140000,  92.4,  13.0,  36.0,  21.1,  32.9
Berkshire Hills,06180000,  90.6,  15.5,  49.0,  30.2,   1.9
Berlin-Boylston,06200000,  96.0,   6.5,  20.1,  10.3,   1.2
Beverly,00300000,  93.3,  11.2,  33.7,  20.0,  14.6
Billerica,00310000,  95.4,   7.6,  25.2,  11.9,   8.3
Blackstone Valley Regional Vocational Technical,08050000,  97.2,   5.1,  15.4,   4.8,   0.2
Blackstone-Millville,06220000,  95.2,   8.9,  29.9,  12.6,  14.1
Blue Hills Regional Vocational Technical,08060000,  93.6,  10.7,  41.4,  19.7,  17.0
Boston,00350000,  90.0,  16.4,  40.9,  29.4,   5.2
Boston Collegiate Charter (District),04490000,  92.4,  12.8,  38.7,  25.1,   2.5
Boston Day and Evening Academy Charter (District),04240000,  33.4,  99.3,  98.6,  98.9,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,  85.6,  24.1,  58.6,  46.2,   9.8
Boston Preparatory Charter Public (District),04160000,  91.8,  14.3,  37.1,  24.8,   0.0
Boston Renaissance Charter Public (District),04810000,  91.8,  13.6,  40.3,  25.2,  40.3
Bourne,00360000,  92.0,  12.9,  38.1,  24.2,  17.4
Boxford,00380000,  97.7,   3.8,   9.4,   2.4,   4.3
Braintree,00400000,  95.9,   6.7,  21.4,  10.4,   0.0
Brewster,00410000,  95.0,   8.4,  33.6,  12.8,   6.2
Bridge Boston Charter School (District),04170000,  93.9,  10.3,  37.5,  18.9,   3.2
Bridgewater-Raynham,06250000,  95.9,   7.1,  21.3,   9.1,   0.0
Brimfield,00430000,  97.5,   4.1,   9.2,   4.8,   3.7
Bristol County Agricultural,09100000,  97.0,   5.1,  14.8,   5.4,   2.7
Bristol-Plymouth Regional Vocational Technical,08100000,  92.2,  13.1,  46.3,  24.6,  24.1
Brockton,00440000,  91.8,  13.2,  39.5,  27.0,   0.0
Brooke Charter School (District),04280000,  95.5,   8.0,  22.1,  11.1,  13.6
Brookfield,00450000,  97.1,   4.8,  15.9,   4.8,   4.8
Brookline,00460000,  97.3,   4.4,  11.1,   5.9,   3.4
Burlington,00480000,  96.1,   6.5,  18.8,   8.8,   3.6
Cambridge,00490000,  95.1,   8.0,  21.5,  12.8,   2.4
Canton,00500000,  95.8,   7.1,  20.5,  10.9,   3.3
Cape Cod Lighthouse Charter (District),04320000,  93.6,  10.9,  34.6,  16.1,   0.0
Cape Cod Regional Vocational Technical,08150000,  89.0,  18.3,  62.8,  40.3,  41.0
Carlisle,00510000,  97.6,   4.3,  11.5,   2.8,   0.8
Carver,00520000,  92.6,  12.4,  39.4,  21.0,   9.8
Central Berkshire,06350000,  95.4,   7.5,  24.3,  12.9,   0.0
Chelmsford,00560000,  96.5,   5.8,  14.4,   7.7,   3.5
Chelsea,00570000,  90.6,  15.1,  40.5,  28.2,   4.9
Chesterfield-Goshen,06320000,  96.9,   4.9,  15.0,   3.3,   0.0
Chicopee,00610000,  90.8,  14.9,  43.6,  28.2,  12.0
Christa McAuliffe Charter Public (District),04180000,  94.4,   9.6,  29.9,  16.4,   1.0
City on a Hill Charter Public School Circuit Street (District),04370000,  81.6,  30.5,  68.9,  50.5,   0.3
Clarksburg,00630000,  97.0,   5.0,  13.9,   5.7,   2.1
Clinton,00640000,  91.8,  13.4,  40.0,  26.4,   0.0
Codman Academy Charter Public (District),04380000,  91.6,  14.3,  47.7,  23.2,  30.8
Cohasset,00650000,  96.0,   6.6,  22.7,   8.2,   8.6
Collegiate Charter School of Lowell (District),35030000,  98.5,   2.4,   6.0,   3.2,   8.3
Community Charter School of Cambridge (District),04360000,  96.6,   5.8,  13.9,   7.4,   0.0
Community Day Charter Public School - Gateway (District),04260000,  95.5,   7.8,  25.6,  11.4,   0.0
Community Day Charter Public School - Prospect (District),04400000,  96.4,   6.5,  22.0,   8.0,   0.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,  95.3,   8.4,  29.7,  12.6,   0.0
Concord,00670000,  95.6,   7.4,  25.3,   9.8,   1.9
Concord-Carlisle,06400000,  97.8,   3.7,   7.9,   4.0,   1.3
Conservatory Lab Charter (District),04390000,  93.3,  11.0,  36.5,  20.3,   5.2
Conway,00680000,  95.8,   6.9,  20.8,  11.5,   3.1
Danvers,00710000,  94.9,   8.4,  25.1,  12.9,   1.0
Dartmouth,00720000,  94.2,  10.0,  32.4,  16.6,  26.6
Dedham,00730000,  93.3,  11.1,  30.6,  18.9,   6.2
Deerfield,00740000,  96.3,   6.2,  17.1,   7.5,   0.9
Dennis-Yarmouth,06450000,  92.6,  12.0,  38.4,  24.0,  10.4
Dighton-Rehoboth,06500000,  95.2,   8.0,  24.6,  11.9,   5.9
Douglas,00770000,  92.8,  11.7,  34.6,  23.1,   4.8
Dover,00780000,  96.9,   5.1,  15.4,   3.6,  12.2
Dover-Sherborn,06550000,  97.0,   5.2,  13.5,   4.7,   2.7
Dracut,00790000,  92.5,  12.3,  37.7,  22.8,  12.6
Dudley Street Neighborhood Charter School (District),04070000,  93.7,  10.6,  34.8,  20.2,  31.6
Dudley-Charlton Reg,06580000,  94.2,   9.7,  33.6,  16.3,  10.0
Duxbury,00820000,  96.8,   5.4,  14.2,   4.8,   3.8
East Bridgewater,00830000,  93.9,  10.1,  32.7,  18.0,  15.3
East Longmeadow,00870000,  97.1,   4.8,  12.2,   5.0,   0.0
Eastham,00850000,  94.9,   8.3,  32.0,  15.8,  10.3
Easthampton,00860000,  95.4,   7.5,  20.5,  12.1,   5.1
Easton,00880000,  96.7,   5.4,  15.4,   6.8,   1.9
Edgartown,00890000,  93.5,  10.4,  41.2,  23.5,  14.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,  86.6,  22.1,  55.7,  41.3,  24.9
Erving,00910000,  95.4,   7.5,  24.6,  14.4,  10.2
Essex North Shore Agricultural and Technical School District,08170000,  95.3,   8.1,  29.8,   9.7,   2.9
Everett,00930000,  92.0,  13.5,  38.2,  25.6,  32.5
Excel Academy Charter (District),04100000,  91.7,  14.0,  39.8,  27.3,  18.5
Fairhaven,00940000,  91.1,  14.7,  45.4,  27.6,   8.4
Fall River,00950000,  87.3,  20.8,  59.4,  41.9,  19.1
Falmouth,00960000,  94.0,   9.9,  31.0,  17.1,  27.6
Farmington River Reg,06620000,  95.3,   7.6,  31.4,   8.5,  12.7
Fitchburg,00970000,  90.4,  15.4,  46.2,  32.3,   6.6
Florida,00980000,  95.9,   6.8,  23.3,   9.3,   0.0
Four Rivers Charter Public (District),04130000,  91.0,  14.8,  39.8,  27.1,   0.5
Foxborough,00990000,  93.4,  11.1,  38.0,  19.3,   0.0
Foxborough Regional Charter (District),04460000,  97.0,   5.1,  15.0,   4.5,   0.8
Framingham,01000000,  93.6,  10.4,  27.7,  18.8,   4.6
Francis W. Parker Charter Essential (District),04780000,  94.1,   9.7,  31.6,  14.7,   0.0
Franklin,01010000,  96.6,   5.6,  12.5,   6.5,   2.3
Franklin County Regional Vocational Technical,08180000,  90.9,  15.1,  54.6,  33.4,   0.0
Freetown-Lakeville,06650000,  96.4,   6.0,  20.2,   8.4,   2.6
Frontier,06700000,  95.2,   8.0,  18.4,  11.1,   0.4
Gardner,01030000,  90.4,  15.4,  44.9,  31.1,  13.6
Gateway,06720000,  94.5,   9.1,  28.8,  15.7,   5.9
Georgetown,01050000,  96.9,   5.2,  13.7,   5.1,   0.9
Gill-Montague,06740000,  91.5,  13.9,  41.0,  28.0,   3.7
Global Learning Charter Public (District),04960000,  95.5,   7.4,  22.7,  10.4,   1.2
Gloucester,01070000,  90.1,  16.2,  50.7,  31.8,  30.8
Gosnold,01090000,  75.5,  30.8,  87.5, 100.0,   0.0
Grafton,01100000,  94.4,   9.4,  30.6,  16.9,  10.3
Granby,01110000,  96.0,   6.6,  19.2,  10.3,   5.3
Greater Fall River Regional Vocational Technical,08210000,  96.5,   5.8,  17.1,   6.2,   1.3
Greater Lawrence Regional Vocational Technical,08230000,  93.3,  11.2,  38.8,  21.0,   6.4
Greater Lowell Regional Vocational Technical,08280000,  93.7,  10.5,  35.0,  17.0,   5.2
Greater New Bedford Regional Vocational Technical,08250000,  94.9,   8.5,  30.8,  13.1,   8.2
Greenfield,01140000,  90.0,  16.4,  40.3,  30.1,  31.3
Greenfield Commonwealth Virtual District,39010000,  86.7,  19.7,  38.3,  34.4,   0.0
Groton-Dunstable,06730000,  96.8,   5.3,  14.1,   5.2,   4.8
Hadley,01170000,  96.3,   6.0,  18.4,   9.9,   1.1
Halifax,01180000,  96.8,   5.3,  16.6,   4.2,   5.0
Hamilton-Wenham,06750000,  95.1,   8.2,  17.5,   8.6,   3.5
Hampden Charter School of Science East (District),04990000,  97.1,   4.9,  10.9,   5.1,   0.7
Hampden Charter School of Science West (District),35160000,  97.0,   5.0,  12.2,   6.4,   7.6
Hampden-Wilbraham,06800000,  94.8,   8.7,  28.4,  13.4,   8.7
Hampshire,06830000,  86.0,  23.4,  99.1,  66.4,   0.0
Hancock,01210000,  96.2,   5.7,  22.2,   6.3,   0.0
Hanover,01220000,  96.0,   6.5,  19.5,   7.3,   8.7
Harvard,01250000,  96.6,   5.7,  13.7,   5.4,   2.4
Hatfield,01270000,  92.7,  12.2,  42.9,  24.3,   0.2
Haverhill,01280000,  90.4,  15.6,  42.9,  29.2,  11.3
Hawlemont,06850000,  95.5,   7.3,  23.4,  13.3,   2.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,  84.8,  26.0,  67.0,  53.8,   0.0
Hill View Montessori Charter Public (District),04550000,  96.8,   5.2,  13.4,   7.0,   0.3
Hilltown Cooperative Charter Public (District),04500000,  96.9,   5.3,  11.5,   6.4,   0.0
Hingham,01310000,  96.5,   5.8,  16.0,   6.3,   2.2
Holbrook,01330000,  95.7,   7.0,  24.4,  12.5,   9.2
Holland,01350000,  96.8,   5.3,  18.4,   4.9,  11.2
Holliston,01360000,  96.7,   5.6,  14.5,   5.5,   0.0
Holyoke,01370000,  84.5,  25.1,  62.0,  45.5,  11.3
Holyoke Community Charter (District),04530000,  97.8,   3.7,  11.0,   3.1,   5.9
Hoosac Valley Regional,06030000,  90.2,  16.0,  49.5,  34.2,   3.0
Hopedale,01380000,  96.8,   5.4,  14.0,   6.4,   3.8
Hopkinton,01390000,  96.9,   5.2,  14.7,   5.7,   1.8
Hudson,01410000,  92.9,  11.7,  33.8,  22.8,   7.5
Hull,01420000,  91.2,  14.5,  45.0,  27.3,  14.3
Innovation Academy Charter (District),04350000,  95.8,   7.0,  16.1,   9.4,   0.0
Ipswich,01440000,  97.5,   4.3,  10.6,   3.8,   2.1
KIPP Academy Boston Charter School (District),04630000,  87.8,  20.9,  64.8,  41.0,   1.1
KIPP Academy Lynn Charter (District),04290000,  89.8,  17.9,  56.3,  34.8,   0.1
King Philip,06900000,  90.5,  15.9,  42.7,  27.6,   7.1
Kingston,01450000,  95.7,   7.1,  22.4,   9.2,   1.7
Lawrence,01490000,  94.0,  10.3,  25.6,  17.2,   4.5
Lawrence Family Development Charter (District),04540000,  96.6,   5.8,  18.5,   7.5,   2.2
Learning First Charter Public School (District),04860000,  97.2,   4.8,  15.6,   3.9,   0.1
Lee,01500000,  95.0,   8.1,  31.5,  10.9,   2.7
Leicester,01510000,  93.3,  11.1,  37.4,  20.7,   2.2
Lenox,01520000,  97.0,   5.0,  13.0,   6.1,   3.8
Leominster,01530000,  92.8,  11.7,  34.9,  23.2,  27.1
Leverett,01540000,  96.1,   6.3,  21.0,  10.1,   2.5
Lexington,01550000,  97.7,   3.8,  10.2,   4.3,   0.7
Libertas Academy Charter School (District),35140000,  94.8,   8.6,  22.8,  14.6,  20.1
Lincoln,01570000,  95.6,   7.0,  26.4,  10.8,   0.3
Lincoln-Sudbury,06950000,  97.2,   4.7,  11.6,   4.3,   0.3
Littleton,01580000,  97.4,   4.4,   9.5,   5.0,   1.5
Longmeadow,01590000,  97.6,   4.0,   9.7,   3.7,   0.1
Lowell,01600000,  92.4,  12.5,  35.5,  23.0,   6.5
Lowell Community Charter Public (District),04560000,  94.6,   9.0,  30.4,  16.1,   2.2
Lowell Middlesex Academy Charter (District),04580000,  48.6,  74.9,  89.9,  84.8,   0.0
Ludlow,01610000,  95.2,   8.0,  24.8,  12.1,   4.0
Lunenburg,01620000,  95.3,   7.6,  25.9,  13.1,   0.1
Lynn,01630000,  92.2,  12.9,  35.6,  23.3,   0.0
Lynnfield,01640000,  97.1,   4.9,  12.6,   3.5,   2.4
