District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Abby Kelley Foster Charter Public (District),04450000,        82,    98.8,     0.0,     0.0,     0.0,     1.2,     0.0
Abington,00010000,       163,    93.3,     2.5,     0.0,     0.6,     3.7,     0.0
Academy Of the Pacific Rim Charter Public (District),04120000,        59,    93.2,     6.8,     0.0,     0.0,     0.0,     0.0
Acton-Boxborough,06000000,       439,    97.3,     2.1,     0.0,     0.0,     0.7,     0.0
Advanced Math and Science Academy Charter (District),04300000,       141,    98.6,     1.4,     0.0,     0.0,     0.0,     0.0
Agawam,00050000,       286,    90.9,     2.1,     0.3,     0.0,     6.6,     0.0
Amesbury,00070000,       161,    90.1,     5.6,     0.0,     0.6,     3.7,     0.0
Amherst-Pelham,06050000,       232,    91.8,     5.2,     0.4,     0.9,     1.7,     0.0
Andover,00090000,       460,    97.6,     1.7,     0.0,     0.4,     0.2,     0.0
Argosy Collegiate Charter School (District),35090000,        60,    58.3,    25.0,     0.0,     0.0,    16.7,     0.0
Arlington,00100000,       346,    95.1,     4.6,     0.0,     0.0,     0.3,     0.0
Ashburnham-Westminster,06100000,       172,    95.3,     1.7,     0.0,     0.0,     2.9,     0.0
Ashland,00140000,       217,    96.8,     0.9,     0.0,     0.0,     2.3,     0.0
Assabet Valley Regional Vocational Technical,08010000,       267,    98.5,     0.4,     0.0,     0.0,     1.1,     0.0
Athol-Royalston,06150000,        91,    70.3,     6.6,    14.3,     0.0,     8.8,     0.0
Atlantis Charter (District),04910000,        86,    96.5,     2.3,     0.0,     0.0,     1.2,     0.0
Attleboro,00160000,       471,    90.7,     4.2,     0.0,     0.2,     4.9,     0.0
Auburn,00170000,       176,    91.5,     6.8,     0.0,     0.0,     1.7,     0.0
Avon,00180000,        46,    78.3,    17.4,     0.0,     0.0,     4.3,     0.0
Ayer Shirley School District,06160000,        86,    93.0,     3.5,     0.0,     1.2,     2.3,     0.0
Barnstable,00200000,       405,    81.5,    12.6,     0.2,     0.2,     5.4,     0.0
Baystate Academy Charter Public School (District),35020000,        50,    94.0,     0.0,     0.0,     0.0,     6.0,     0.0
Bedford,00230000,       189,    95.8,     2.6,     0.0,     0.0,     1.6,     0.0
Belchertown,00240000,       175,    96.0,     2.3,     0.0,     0.0,     1.7,     0.0
Bellingham,00250000,       161,    93.8,     3.1,     0.6,     1.2,     1.2,     0.0
Belmont,00260000,       322,    98.8,     1.2,     0.0,     0.0,     0.0,     0.0
Berkshire Arts and Technology Charter Public (District),04140000,        31,    93.5,     0.0,     0.0,     3.2,     3.2,     0.0
Berkshire Hills,06180000,       127,    90.6,     2.4,     0.0,     0.0,     7.1,     0.0
Berlin-Boylston,06200000,        82,    98.8,     1.2,     0.0,     0.0,     0.0,     0.0
Beverly,00300000,       319,    92.2,     5.6,     0.3,     0.3,     1.6,     0.0
Billerica,00310000,       257,    94.9,     3.1,     0.0,     0.4,     1.6,     0.0
Blackstone Valley Regional Vocational Technical,08050000,       301,    99.7,     0.3,     0.0,     0.0,     0.0,     0.0
Blackstone-Millville,06220000,        95,    94.7,     4.2,     0.0,     0.0,     1.1,     0.0
Blue Hills Regional Vocational Technical,08060000,       194,    98.5,     1.0,     0.0,     0.5,     0.0,     0.0
Boston,00350000,"     3,867",    78.8,    13.1,     0.2,     0.3,     7.5,     0.0
Boston Collegiate Charter (District),04490000,        69,    91.3,     7.2,     0.0,     0.0,     1.4,     0.0
Boston Day and Evening Academy Charter (District),04240000,       152,     5.3,    59.9,     0.0,     2.6,    32.2,     0.0
Boston Green Academy Horace Mann Charter School (District),04110000,        78,    88.5,     7.7,     0.0,     0.0,     3.8,     0.0
Boston Preparatory Charter Public (District),04160000,        71,    88.7,     9.9,     0.0,     0.0,     1.4,     0.0
Bourne,00360000,       123,    92.7,     4.9,     0.0,     0.0,     2.4,     0.0
Braintree,00400000,       435,    96.1,     1.6,     0.0,     0.2,     2.1,     0.0
Bridgewater-Raynham,06250000,       377,    95.2,     3.2,     0.0,     0.0,     1.6,     0.0
Bristol County Agricultural,09100000,        98,    95.9,     1.0,     0.0,     0.0,     3.1,     0.0
Bristol-Plymouth Regional Vocational Technical,08100000,       295,    95.9,     0.3,     0.0,     0.0,     3.7,     0.0
Brockton,00440000,"     1,153",    77.2,    11.4,     2.7,     0.3,     8.3,     0.0
Brooke Charter School (District),04280000,        42,    78.6,    11.9,     0.0,     0.0,     9.5,     0.0
Brookline,00460000,       509,    94.9,     4.5,     0.0,     0.0,     0.6,     0.0
Burlington,00480000,       254,    93.3,     6.3,     0.0,     0.0,     0.4,     0.0
Cambridge,00490000,       499,    90.8,     5.6,     0.4,     0.0,     3.2,     0.0
Canton,00500000,       265,    95.5,     2.6,     0.0,     0.0,     1.9,     0.0
Cape Cod Regional Vocational Technical,08150000,       135,    92.6,     2.2,     0.0,     0.0,     5.2,     0.0
Carver,00520000,       107,    97.2,     0.9,     0.9,     0.0,     0.9,     0.0
Central Berkshire,06350000,       135,    96.3,     0.7,     0.0,     0.0,     3.0,     0.0
Chelmsford,00560000,       379,    95.3,     2.6,     1.8,     0.0,     0.3,     0.0
Chelsea,00570000,       350,    66.6,    21.4,     0.3,     0.0,    11.7,     0.0
Chicopee,00610000,       575,    87.3,     3.3,     0.0,     0.9,     8.5,     0.0
City on a Hill Charter Public School Circuit Street (District),04370000,        79,    78.5,    15.2,     0.0,     0.0,     6.3,     0.0
Clinton,00640000,       132,    90.2,     5.3,     0.8,     0.0,     3.8,     0.0
Codman Academy Charter Public (District),04380000,        25,    84.0,     8.0,     0.0,     0.0,     8.0,     0.0
Cohasset,00650000,       131,    97.7,     2.3,     0.0,     0.0,     0.0,     0.0
Community Charter School of Cambridge (District),04360000,        33,    90.9,     9.1,     0.0,     0.0,     0.0,     0.0
Concord-Carlisle,06400000,       314,    98.4,     1.6,     0.0,     0.0,     0.0,     0.0
Danvers,00710000,       243,    95.1,     2.9,     0.0,     0.8,     1.2,     0.0
Dartmouth,00720000,       272,    92.3,     3.7,     0.7,     0.0,     3.3,     0.0
Dedham,00730000,       189,    91.5,     4.2,     0.0,     0.0,     4.2,     0.0
Dennis-Yarmouth,06450000,       178,    89.9,     4.5,     0.0,     0.0,     5.6,     0.0
Dighton-Rehoboth,06500000,       216,    96.3,     1.4,     0.0,     0.0,     2.3,     0.0
Douglas,00770000,        97,    85.6,     7.2,     0.0,     1.0,     6.2,     0.0
Dover-Sherborn,06550000,       176,    96.0,     2.3,     1.7,     0.0,     0.0,     0.0
Dracut,00790000,       237,    94.5,     3.0,     0.4,     0.0,     2.1,     0.0
Dudley-Charlton Reg,06580000,       290,    90.7,     2.8,     1.0,     0.0,     5.5,     0.0
Duxbury,00820000,       252,    96.8,     2.8,     0.0,     0.0,     0.4,     0.0
East Bridgewater,00830000,       153,    95.4,     2.6,     0.0,     0.0,     2.0,     0.0
East Longmeadow,00870000,       181,    96.7,     2.2,     0.0,     0.0,     1.1,     0.0
Easthampton,00860000,       121,    89.3,     3.3,     0.0,     2.5,     5.0,     0.0
Easton,00880000,       276,    97.1,     1.1,     0.0,     0.0,     1.8,     0.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,        88,    98.9,     1.1,     0.0,     0.0,     0.0,     0.0
Essex North Shore Agricultural and Technical School District,08170000,       350,    98.0,     0.3,     0.0,     0.9,     0.9,     0.0
Everett,00930000,       466,    83.3,     4.3,     1.3,     0.0,    11.2,     0.0
Excel Academy Charter (District),04100000,       158,    99.4,     0.6,     0.0,     0.0,     0.0,     0.0
Fairhaven,00940000,       201,    93.0,     1.0,     0.0,     0.0,     6.0,     0.0
Fall River,00950000,       659,    79.7,     4.7,     0.9,     0.3,    14.4,     0.0
Falmouth,00960000,       210,    87.6,     1.0,     0.0,     1.4,    10.0,     0.0
Fitchburg,00970000,       397,    84.6,    10.8,     0.8,     0.3,     3.5,     0.0
Four Rivers Charter Public (District),04130000,        32,    84.4,     3.1,     0.0,     9.4,     3.1,     0.0
Foxborough,00990000,       189,    95.8,     2.1,     0.0,     0.0,     2.1,     0.0
Foxborough Regional Charter (District),04460000,        65,    96.9,     0.0,     0.0,     0.0,     3.1,     0.0
Framingham,01000000,       615,    84.7,     7.3,     0.2,     0.2,     7.6,     0.0
Francis W. Parker Charter Essential (District),04780000,        60,    91.7,     6.7,     0.0,     1.7,     0.0,     0.0
Franklin,01010000,       460,    95.4,     2.8,     0.0,     0.0,     1.7,     0.0
Franklin County Regional Vocational Technical,08180000,       105,    93.3,     2.9,     0.0,     0.0,     3.8,     0.0
Freetown-Lakeville,06650000,       208,    95.7,     2.9,     1.0,     0.0,     0.5,     0.0
Frontier,06700000,       107,    90.7,     3.7,     0.0,     0.9,     4.7,     0.0
Gardner,01030000,       174,    86.8,     6.9,     0.0,     1.7,     4.6,     0.0
Gateway,06720000,        57,    93.0,     3.5,     0.0,     0.0,     3.5,     0.0
Georgetown,01050000,        92,    96.7,     1.1,     0.0,     0.0,     2.2,     0.0
Gill-Montague,06740000,        64,    75.0,    12.5,     0.0,     4.7,     7.8,     0.0
Global Learning Charter Public (District),04960000,        23,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Gloucester,01070000,       185,    81.1,     5.9,     3.8,     0.5,     8.6,     0.0
Grafton,01100000,       191,    92.7,     2.6,     2.6,     0.5,     1.6,     0.0
Granby,01110000,        56,    94.6,     0.0,     0.0,     1.8,     3.6,     0.0
Greater Fall River Regional Vocational Technical,08210000,       351,    98.0,     0.9,     0.3,     0.0,     0.9,     0.0
Greater Lawrence Regional Vocational Technical,08230000,       379,    97.6,     1.3,     0.0,     0.0,     1.1,     0.0
Greater Lowell Regional Vocational Technical,08280000,       542,    96.1,     1.8,     0.6,     0.4,     1.1,     0.0
Greater New Bedford Regional Vocational Technical,08250000,       503,    94.8,     1.4,     0.0,     0.0,     3.6,     0.2
Greenfield,01140000,        91,    84.6,     7.7,     0.0,     1.1,     6.6,     0.0
Greenfield Commonwealth Virtual District,39010000,       124,    47.6,    18.5,     0.0,     7.3,    26.6,     0.0
Groton-Dunstable,06730000,       194,    97.9,     2.1,     0.0,     0.0,     0.0,     0.0
Hadley,01170000,        45,    93.3,     2.2,     0.0,     0.0,     4.4,     0.0
Hamilton-Wenham,06750000,       144,    97.2,     0.7,     0.7,     0.0,     1.4,     0.0
Hampden Charter School of Science East (District),04990000,        55,    94.5,     1.8,     0.0,     0.0,     3.6,     0.0
Hampden-Wilbraham,06800000,       246,    97.2,     0.8,     0.0,     0.8,     1.2,     0.0
Hampshire,06830000,       102,    96.1,     1.0,     0.0,     0.0,     2.9,     0.0
Hanover,01220000,       212,    98.6,     1.4,     0.0,     0.0,     0.0,     0.0
Harvard,01250000,        99,    99.0,     1.0,     0.0,     0.0,     0.0,     0.0
Hatfield,01270000,        25,    96.0,     0.0,     0.0,     0.0,     4.0,     0.0
Haverhill,01280000,       520,    81.3,     9.6,     0.4,     0.8,     7.9,     0.0
Hingham,01310000,       319,    95.3,     2.8,     0.0,     0.6,     1.3,     0.0
Holbrook,01330000,        69,    87.0,     1.4,     1.4,     1.4,     8.7,     0.0
Holliston,01360000,       204,    94.1,     4.9,     0.0,     0.0,     1.0,     0.0
Holyoke,01370000,       419,    76.4,    10.3,     0.2,     0.5,    12.6,     0.0
Hoosac Valley Regional,06030000,        47,    83.0,     6.4,     0.0,     0.0,    10.6,     0.0
Hopedale,01380000,        75,    94.7,     2.7,     1.3,     0.0,     1.3,     0.0
Hopkinton,01390000,       329,    99.4,     0.3,     0.3,     0.0,     0.0,     0.0
Hudson,01410000,       172,    83.1,     5.2,     0.0,     0.0,    11.6,     0.0
Hull,01420000,        74,    90.5,     4.1,     0.0,     2.7,     2.7,     0.0
Innovation Academy Charter (District),04350000,        98,    88.8,     6.1,     0.0,     2.0,     3.1,     0.0
Ipswich,01440000,       142,    93.7,     4.2,     0.0,     2.1,     0.0,     0.0
King Philip,06900000,       307,    94.8,     3.6,     0.3,     0.0,     1.3,     0.0
KIPP Academy Lynn Charter (District),04290000,       120,    97.5,     0.8,     0.0,     0.0,     1.7,     0.0
Lawrence,01490000,       896,    78.5,    12.3,     1.0,     0.4,     7.8,     0.0
Lee,01500000,        66,    93.9,     1.5,     0.0,     0.0,     4.5,     0.0
Leicester,01510000,       101,    91.1,     4.0,     0.0,     0.0,     5.0,     0.0
Lenox,01520000,        61,    96.7,     3.3,     0.0,     0.0,     0.0,     0.0
Leominster,01530000,       474,    95.6,     2.7,     0.4,     0.0,     1.3,     0.0
Lexington,01550000,       544,    96.9,     2.0,     0.0,     0.0,     1.1,     0.0
Lincoln-Sudbury,06950000,       391,    96.7,     2.6,     0.0,     0.0,     0.8,     0.0
Littleton,01580000,       112,    94.6,     2.7,     0.0,     0.9,     1.8,     0.0
Longmeadow,01590000,       222,    99.1,     0.5,     0.0,     0.0,     0.5,     0.0
Lowell,01600000,       866,    80.0,    10.0,     0.7,     0.2,     9.0,     0.0
Lowell Middlesex Academy Charter (District),04580000,        29,    17.2,    51.7,     0.0,     0.0,    31.0,     0.0
Ludlow,01610000,       211,    93.4,     0.9,     0.0,     0.9,     4.7,     0.0
Lunenburg,01620000,       114,    94.7,     2.6,     0.9,     0.0,     1.8,     0.0
Lynn,01630000,"     1,198",    84.1,     5.3,     0.4,     0.3,    10.0,     0.0
Lynnfield,01640000,       168,    98.8,     1.2,     0.0,     0.0,     0.0,     0.0
Ma Academy for Math and Science,04680000,        49,    98.0,     2.0,     0.0,     0.0,     0.0,     0.0
Malden,01650000,       473,    81.0,     7.2,     0.8,     0.4,    10.6,     0.0
Manchester Essex Regional,06980000,       132,    93.9,     3.8,     0.8,     0.0,     1.5,     0.0
Mansfield,01670000,       331,    96.4,     1.8,     0.0,     0.0,     1.8,     0.0
Map Academy Charter School (District),35170000,        60,    25.0,    70.0,     0.0,     0.0,     5.0,     0.0
Marblehead,01680000,       258,    95.3,     3.5,     0.0,     0.8,     0.4,     0.0
