District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
MATCH Charter Public School (District),4690000,357,19.9,"1,220",48,0.5,46.8,1.5,0.4,0.3,2.5
Ma Academy for Math and Science,4680000,32,11,44,0,63.6,0,31.8,0,0,4.6
Malden,1650000,"2,778",18.6,"6,237",19.4,23,26.4,27.1,0.3,0,3.9
Manchester Essex Regional,6980000,671,14.8,"1,271",0.5,1.2,1.3,96.5,0,0,0.6
Mansfield,1670000,"1,525",15,"3,527",4.5,7.5,6.2,77.4,0.1,0,4.1
Map Academy Charter School (District),35170000,130,15.1,203,4.9,0.5,15.3,71.9,1,0.5,5.9
Marblehead,1680000,"1,603",16.2,"2,723",3,1.4,6.9,85.2,0,0,3.4
Marblehead Community Charter Public (District),4640000,89,18.2,211,5.7,1.9,9.5,80.1,0,0,2.8
Marion,1690000,313,9.4,403,4.5,1.5,4,84.1,0,0,6
Marlborough,1700000,"3,081",12.2,"4,901",3.8,0.7,52.8,38,0,0,4.7
Marshfield,1710000,"2,148",11.6,"3,817",0.7,1.1,3.6,92.3,0.2,0.2,2
Martha's Vineyard,7000000,423,12.8,677,5.5,1.3,20.8,65.3,2.1,0.2,4.9
Martha's Vineyard Charter (District),4660000,86,11.6,166,0.6,0.6,13.3,70.5,1.8,0,13.3
Martin Luther King Jr. Charter School of Excellence (District),4920000,108,20,360,30.3,1.1,64.2,3.6,0.3,0,0.6
Masconomet,7050000,940,15.8,"1,692",0.7,3.7,3.1,90,0.1,0.2,2.4
Mashpee,1720000,959,14.8,"1,525",5.1,1.9,5.9,71.9,5.6,0.1,9.5
Mattapoisett,1730000,402,10.5,412,0.2,1,5.1,88.1,0,0,5.6
Maynard,1740000,805,15.6,"1,189",1.8,2,13.2,78.3,0.2,0,4.5
Medfield,1750000,"1,475",17.5,"2,507",1.2,4.2,3.6,87,0.3,0,3.8
Medford,1760000,"2,194",13,"3,969",11.8,9.6,13.9,59.1,0.5,0.1,5
Medway,1770000,"1,215",15.9,"2,094",1.6,3.3,5.9,86.2,0.2,0.1,2.6
Melrose,1780000,"1,641",18.7,"3,691",6,6,5.4,76.8,0.1,0,5.6
Mendon-Upton,7100000,"1,163",15.2,"2,170",0.7,2.7,5.4,88.8,0.1,0,2.3
Methuen,1810000,"3,001",18.3,"6,572",3.8,3.7,46,42.6,0.1,0.1,3.9
Middleborough,1820000,"1,688",16,"2,922",2.5,1.1,2.8,88,0.6,0,5
Middleton,1840000,362,13.9,682,1.5,4.4,5.4,84.5,0.6,0.2,3.5
Milford,1850000,"2,895",11.3,"4,329",3.3,1.4,31.7,58.8,1.4,0.1,3.4
Millbury,1860000,782,16.7,"1,533",3.5,3.4,8.4,78.9,0,0.1,5.8
Millis,1870000,586,16.1,"1,172",1,2.6,8.1,83.7,0.3,0.2,4.1
Milton,1890000,"2,244",17.3,"4,343",13.2,7.5,5.1,68.5,0.1,0.1,5.5
Minuteman Regional Vocational Technical,8300000,499,12.8,627,3.7,3.8,7.7,79.4,0.3,0,5.1
Mohawk Trail,7170000,452,9.2,747,0.3,0.1,5,92,0,0,2.7
Monomoy Regional School District,7120000,"1,348",13.4,"1,766",5.8,1.4,8.8,77.6,0.5,0.2,5.7
Monson,1910000,547,13.5,844,1.3,1.4,6,87.4,0.1,0.2,3.4
Montachusett Regional Vocational Technical,8320000,638,17.8,"1,401",2.1,1.8,17.1,74.9,0,0,4.2
Mount Greylock,7150000,995,9.3,"1,079",2.4,1.9,4.9,86.1,0,0,4.7
Mystic Valley Regional Charter (District),4700000,775,24,"1,609",18.2,25.1,9.9,41.8,0.3,0,4.8
Nahant,1960000,74,16.2,155,0.7,0.7,7.1,85.2,0,0,6.5
Nantucket,1970000,917,16.1,"1,688",9.3,1.6,36.4,48.2,0.1,0,4.4
Narragansett,7200000,598,17.4,"1,349",0.7,0.3,7.9,87.6,0.1,0.1,3.5
Nashoba,7250000,"1,745",13.3,"3,108",1.4,3.7,6.7,85.1,0.1,0.1,2.9
Nashoba Valley Regional Vocational Technical,8520000,461,11.9,710,2.3,2,7.5,84.8,0.3,0.1,3.1
Natick,1980000,"2,569",17.9,"5,291",2.8,10.5,6.9,74.2,0.1,0,5.5
Nauset,6600000,"1,070",13.6,"1,410",5.3,2.1,5.3,84.5,0.1,0.1,2.6
Needham,1990000,"2,482",16.4,"5,527",3.2,10.5,6.1,74.5,0.1,0.1,5.6
Neighborhood House Charter (District),4440000,364,16.7,795,52.8,2.5,25.8,13,0.8,0,5.2
New Bedford,2010000,"6,457",17,"12,685",13.5,0.8,41.8,38.1,0.3,0.1,5.4
New Heights Charter School of Brockton (District),35130000,190,24,636,87.7,0.6,7.1,1.4,0.2,0,3
New Salem-Wendell,7280000,79,16.4,131,0,0,4.6,87.8,0,0,7.6
Newburyport,2040000,"1,712",14,"2,150",0.9,1.9,4.3,90.3,0,0,2.6
Newton,2070000,"5,815",17.1,"12,121",4.6,20.1,8.6,58.9,0.1,0.1,7.7
Norfolk,2080000,243,22.3,987,0.7,2.4,3.3,90.6,0,0,2.9
Norfolk County Agricultural,9150000,445,16.7,586,1.2,1.2,1.4,91,0.3,0.3,4.6
North Adams,2090000,555,14.9,"1,300",2.3,0.5,6.9,81.2,0.4,0.3,8.4
North Andover,2110000,"3,044",18,"4,559",2.9,7.6,13.5,72.5,0.1,0.1,3.3
North Attleborough,2120000,"2,158",15.6,"3,991",4.4,7.6,5.3,78.4,0.2,0.1,4
North Brookfield,2150000,230,11.2,516,1,0.6,7.2,87,0,0,4.3
North Middlesex,7350000,"1,579",18.6,"2,941",2,1.9,5.3,87.5,0.1,0,3.2
North Reading,2170000,"1,297",17.3,"2,313",0.7,4.7,4.2,87.2,0,0,3.2
Northampton,2100000,"1,207",16.8,"2,648",3.2,3.1,16.6,69.9,0.2,0,7
Northampton-Smith Vocational Agricultural,4060000,429,12.4,535,1.5,0.6,12.9,83.2,0,0.2,1.7
Northboro-Southboro,7300000,802,14.6,"1,357",1.6,12.3,6.6,74.5,0.4,0.4,4.2
Northborough,2130000,610,15.8,"1,531",1.4,12.6,9.7,70.2,0.5,2.3,3.4
Northbridge,2140000,804,17.8,"1,971",1.1,0.8,9.2,83.7,0.1,0.1,5.1
Northeast Metropolitan Regional Vocational Technical,8530000,"1,502",11.5,"1,292",3.2,0.9,33.7,60.3,0.1,0.2,1.8
Northern Berkshire Regional Vocational Technical,8510000,441,11.1,501,0.8,0.6,1.4,95.4,0,0,1.8
Norton,2180000,"1,341",15.9,"2,403",2.3,1.9,4,88.1,0.2,0,3.6
Norwell,2190000,952,14.9,"2,223",0.3,2.2,1.5,92.3,0,0.1,3.6
Norwood,2200000,"2,751",8.6,"3,425",10.6,8.3,17.1,60.5,0.1,0.6,2.8
Oak Bluffs,2210000,198,16.7,448,3.4,1.3,32.1,55.8,1.1,0,6.3
Old Colony Regional Vocational Technical,8550000,248,16.6,553,0.5,0.9,2.2,93.7,0.2,0,2.5
Old Rochester,7400000,"1,240",8.8,"1,136",2.3,1.4,1.9,89.4,0.1,0,4.9
Old Sturbridge Academy Charter Public School (District),35150000,7,40,280,4.6,0.7,13.2,80.4,0,0,1.1
Orange,2230000,153,15.4,472,1.3,0.6,8.5,84.5,0.2,0,4.9
Orleans,2240000,190,10.9,174,4,1.2,10.9,78.7,0.6,0,4.6
Oxford,2260000,622,16.5,"1,488",2.4,1.1,12.8,79.1,0.1,0.1,4.2
Palmer,2270000,985,14.7,"1,208",3.7,2.5,13.3,75.9,0.1,0,4.5
Pathfinder Regional Vocational Technical,8600000,548,11.3,602,0.7,0,4.2,92.2,0,0,3
Paulo Freire Social Justice Charter School (District),35010000,184,15.1,250,10,0.4,86.8,2.4,0,0.4,0
Peabody,2290000,"2,964",16.4,"5,813",3.8,2.1,19.4,72.5,0.2,0,2
Pelham,2300000,43,13.9,102,3.9,4.9,12.8,72.6,0,0,5.9
Pembroke,2310000,"1,195",16.9,"2,620",0.5,1,1.9,94,0.1,0,2.5
Pentucket,7450000,"1,226",16.3,"2,191",0.4,1.2,6,89.9,0.1,0,2.5
Petersham,2340000,49,15.9,121,0,0,8.3,88.4,0,0,3.3
Phoenix Academy Public Charter High School Lawrence (District),35180000,46,6.5,156,0.6,0,90.4,7.7,1.3,0,0
Phoenix Academy Public Charter High School Springfield (District),35080000,12,61.9,201,13.4,0.5,76.6,6,0.5,0.5,2.5
Phoenix Charter Academy (District),4930000,30,37.1,216,11.1,0,83.8,3.2,1.4,0,0.5
Pioneer Charter School of Science (District),4940000,344,19.2,801,24.6,6.4,28.8,36.2,1.5,0,2.5
Pioneer Charter School of Science II (PCSS-II) (District),35060000,155,18.4,360,36.4,13.1,25.6,22.2,0.6,0,2.2
Pioneer Valley,7500000,406,12.1,631,0.6,0.6,1.9,92.1,0.2,0.5,4.1
Pioneer Valley Chinese Immersion Charter (District),4970000,308,17.5,558,10.4,19.5,8.6,48.2,0,0.2,13.1
Pioneer Valley Performing Arts Charter Public (District),4790000,298,13.9,403,8.2,1,20.4,63,0,0.3,7.2
Pittsfield,2360000,"2,269",14,"4,967",11.8,1.3,16.5,60.4,0.3,0,9.6
Plainville,2380000,124,19.2,632,5.5,3.3,7.9,79.6,0,0,3.6
Plymouth,2390000,"5,125",15.3,"7,102",2.1,1,6.8,85,0.2,0,4.9
Plympton,2400000,111,14.7,220,0,0,2.3,96.8,0.5,0,0.5
Prospect Hill Academy Charter (District),4870000,445,18.3,"1,105",57,7.2,21,10.8,0,0.2,3.9
Provincetown,2420000,52,11.3,147,23.8,0.7,14.3,52.4,0,0,8.8
Quabbin,7530000,"1,258",14.4,"2,116",1.1,1.3,6.1,89.2,0.1,0.1,2.1
Quaboag Regional,7780000,597,14.7,"1,128",0.8,0.4,6.8,87.9,0.1,0,4.1
Quincy,2430000,"6,287",12.7,"9,515",7.3,40.3,8.5,39.7,0.2,0.3,3.7
Ralph C Mahar,7550000,548,15.3,622,1.8,1.6,7.9,84.6,0.2,0,4
Randolph,2440000,"1,078",13.6,"2,696",49.4,17.6,16.2,11.8,0.3,0.1,4.6
Reading,2460000,"1,760",16.7,"3,980",2.6,5.5,3.3,86.1,0.1,0,2.5
Revere,2480000,"4,140",15.6,"7,294",3.6,4.4,58.5,31.5,0.3,0,1.8
Richmond,2490000,113,14.7,151,1.3,0,7.3,87.4,0,0,4
Rising Tide Charter Public (District),4830000,303,20,668,0.9,1.4,3.9,85.8,1.1,0,7
River Valley Charter (District),4820000,146,11.7,286,0.4,1.4,5.6,88.1,0.4,0,4.2
Rochester,2500000,367,16.8,493,0.2,0,2.6,92.9,0,0,4.3
Rockland,2510000,"1,446",14.4,"2,211",6.3,1.3,17.6,70.2,0,0,4.6
Rockport,2520000,459,14.7,770,0.7,1.8,3.6,90.4,0,0.1,3.4
Rowe,2530000,21,16.1,63,0,0,4.8,81,0,0,14.3
Roxbury Preparatory Charter (District),4840000,335,29.9,"1,589",56.2,0.6,40.4,1.3,0.2,0.1,1.2
Sabis International Charter (District),4410000,446,27,"1,565",28.4,3.7,45.2,17.2,0,0,5.4
Salem,2580000,"2,245",13.5,"3,772",6.6,2.6,43.9,42.4,0,0,4.5
Salem Academy Charter (District),4850000,250,19,491,11.2,5.9,43.8,37.1,0,0,2
Sandwich,2610000,"1,367",15.6,"2,351",1.2,2.3,3.4,90.8,0.6,0.2,1.4
Saugus,2620000,"1,099",17,"2,425",5.4,5.5,22.8,62.5,0.8,0.4,2.6
Savoy,2630000,61,5.7,45,2.2,0,2.2,95.6,0,0,0
Scituate,2640000,"1,470",18.2,"2,879",2.6,0.7,2.1,92.3,0.1,0,2.2
Seekonk,2650000,863,15.7,"2,014",2.1,3.6,6,84.4,0,0,3.9
Sharon,2660000,"1,529",19,"3,520",5.1,30,5.9,52.6,0.1,0.1,6.2
Shawsheen Valley Regional Vocational Technical,8710000,717,16.3,"1,302",0.9,0.8,5.8,90.5,0.4,0,1.6
Sherborn,2690000,217,15.7,391,3.1,8.4,4.6,77.5,0,0,6.4
Shrewsbury,2710000,"2,551",18.2,"6,046",3.4,33.2,9.3,49.2,0.5,0,4.4
Shutesbury,2720000,55,14.8,116,1.7,0.9,10.3,82.8,0.9,0,3.5
Silver Lake,7600000,814,18.9,"1,729",1.3,1,2.6,93.6,0.4,0,1.2
Sizer School: A North Central Charter Essential (District),4740000,234,13,370,7,1.4,25.4,63,0.5,0,2.7
Somerset,2730000,939,18.4,"1,623",0.9,1.7,4.9,89.2,0.3,0,3
Somerset Berkley Regional School District,7630000,448,18,"1,007",1.1,0.5,4.4,92.4,0.2,0.1,1.4
Somerville,2740000,"2,366",12.3,"4,624",8.9,6.2,41.1,39.2,0.1,0.2,4.4
South Hadley,2780000,697,17.4,"1,788",1.8,2,16,77.4,0.1,0,2.8
South Middlesex Regional Vocational Technical,8290000,761,12.6,815,4.8,1.4,41.1,47.7,2,0,3.1
South Shore Charter Public (District),4880000,534,15.3,"1,013",35.7,5.5,6.3,45.7,0.4,0,6.3
South Shore Regional Vocational Technical,8730000,247,15,637,1.7,1.1,4.6,91.2,0.3,0,1.1
Southampton,2750000,173,15.1,460,0.2,1.5,7.2,87.6,0,0,3.5
Southborough,2760000,501,14.9,"1,243",1.7,20,5.7,67.4,0.2,0,5.1
Southbridge,2770000,895,15.7,"1,886",1.8,1.3,62.5,32.1,0.2,0.2,2
Southeastern Regional Vocational Technical,8720000,"1,408",8.2,"1,527",35.7,1.7,14,42.9,0,0,5.7
Southern Berkshire,7650000,470,12.1,655,1.4,0.2,8.9,84.4,0.5,0,4.7
Southern Worcester County Regional Vocational Technical,8760000,993,13.5,"1,168",0.9,0.7,11.4,85,0.1,0,1.9
Southwick-Tolland-Granville Regional School District,7660000,774,14.4,"1,403",1.8,1,5.4,89.3,0.3,0,2.3
Spencer-E Brookfield,7670000,469,15.5,"1,353",2.7,1.3,16.3,75.5,0.2,0,3.9
Springfield,2810000,"21,372",11.5,"24,098",18.6,2.1,68,9,0.1,0,2.2
Springfield Preparatory Charter School (District),35100000,87,32.5,374,17.4,2.4,69,9.4,0,0,1.9
Stoneham,2840000,"1,483",13.4,"2,288",2.2,5.8,10,77.8,0.3,0,3.9
Stoughton,2850000,"1,941",16,"3,436",25,6.1,14.7,48,0.2,0.3,5.8
Sturbridge,2870000,295,17.7,809,1,1.5,7.3,84.8,0.3,0,5.2
Sturgis Charter Public (District),4890000,453,14.1,853,2.5,2.9,4.9,86.5,0.4,0.1,2.7
Sudbury,2880000,"1,918",15.2,"2,547",2.9,9.8,5.5,73.8,0,0.2,7.8
Sunderland,2890000,153,13.3,190,4.7,6.3,11.6,69,0,0,8.4
Sutton,2900000,463,17.4,"1,258",1.1,1.4,4,89.7,0,0.1,3.7
Swampscott,2910000,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0,3.1
Swansea,2920000,"1,786",8.9,"2,013",0.9,1.2,2.7,93.5,0.2,0,1.4
TEC Connections Academy Commonwealth Virtual School District,39020000,592,45.8,"2,661",7.8,2.6,18.9,63.4,0.2,0.3,6.8
Tantasqua,7700000,"1,186",14.8,"1,776",1.2,1.1,6.5,87.3,0.1,0.1,3.8
Taunton,2930000,"3,299",19.4,"7,861",19.8,1.1,13.6,59.3,0.3,0.2,5.7
Tewksbury,2950000,"1,487",17.9,"3,221",4,4.1,6.6,83.3,0.1,0,1.9
Tisbury,2960000,205,13.8,292,6.5,0.7,36.6,49.3,2.1,0,4.8
Topsfield,2980000,204,15.1,585,0.2,1.5,4.6,90.4,0.9,0,2.4
Tri-County Regional Vocational Technical,8780000,569,16.6,946,1,0.9,7.8,85.4,0.1,0.1,4.8
Triton,7730000,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2
Truro,3000000,61,15.4,113,8,0,6.2,67.3,0,0,18.6
Tyngsborough,3010000,966,17.6,"1,604",4.7,9,7.2,75.2,0.2,0,3.7
UP Academy Charter School of Boston (District),4800000,138,22.1,364,44.5,3.3,48.4,2.5,0.3,0.6,0.6
UP Academy Charter School of Dorchester (District),35050000,138,31.9,722,54.9,0.3,40.9,1.4,0.1,0.7,1.8
Up-Island Regional,7740000,147,14.1,413,1.7,1,8.5,77,3.9,0,8
Upper Cape Cod Regional Vocational Technical,8790000,346,14.1,708,3.3,1.1,4.1,83.5,1,0.1,6.9
Uxbridge,3040000,859,16,"1,598",1.3,1.4,6,88.4,0.6,0.1,2.3
Veritas Preparatory Charter School (District),4980000,75,27,405,20.5,1.7,70.1,4,0.7,0.3,2.7
Wachusett,7750000,"3,032",18,"6,656",2.7,3.2,6.4,85.2,0.1,0,2.5
Wakefield,3050000,"1,476",16.1,"3,331",2.8,3.7,7.9,82.2,0.2,0.2,3.1
Wales,3060000,41,16.2,129,1.6,0,1.6,93.8,0.8,0,2.3
Walpole,3070000,"1,502",15.3,"3,659",3.5,6.8,6.5,79.6,0.3,0.1,3.2
Waltham,3080000,"3,761",13.5,"5,549",9.3,5.1,43.1,40.1,0.1,0,2.4
Ware,3090000,409,18.9,"1,168",1.6,0.4,8.8,85,0.2,0.3,3.7
Wareham,3100000,"1,319",13.5,"2,052",7.7,0.9,8.7,68.4,1.4,0.1,12.9
Watertown,3140000,"1,827",12.5,"2,552",4.6,7.4,19.3,62.9,0.4,0,5.4
Wayland,3150000,"1,372",16.3,"2,718",5.1,15.2,4.9,68.2,0,0.1,6.5
Webster,3160000,823,17.2,"1,679",6.1,1.7,33.2,52.5,0.2,0.1,6.4
Wellesley,3170000,"2,523",14.8,"4,442",3.7,15.3,5.6,68,0,0,7.4
Wellfleet,3180000,88,11.7,99,1,0,4,79.8,0,0,15.2
West Boylston,3220000,617,13.9,895,3.7,1.9,11.5,78.1,0.1,0.2,4.5
West Bridgewater,3230000,870,18.7,"1,414",6.7,1.1,5.9,81.1,0.1,0.1,5
West Springfield,3320000,"2,374",10.7,"3,917",3.6,8.9,21.7,62.2,0.1,0.1,3.5
Westborough,3210000,"1,998",15.8,"3,845",2.2,35.4,8.2,50.8,0.1,0.1,3.2
Westfield,3250000,"2,697",16,"4,927",2.4,3.1,17.8,73.2,0.1,0,3.4
Westford,3260000,"3,064",12.6,"4,759",1.5,29.4,2.5,62.4,0.1,0,4.1
Westhampton,3270000,65,12.7,110,2.7,0,5.5,89.1,0,0,2.7
Weston,3300000,"1,040",14.2,"1,905",6.6,17.5,6.5,63.7,0.1,0.1,5.6
Westport,3310000,846,15.2,"1,379",0.6,0.4,4.1,90.9,0.2,0,3.8
Westwood,3350000,"1,799",13,"2,970",2.1,12,4.9,76,0,0,4.9
Weymouth,3360000,"2,754",17.4,"5,698",7.3,7,12.5,68.2,0.2,0.1,4.7
Whately,3370000,87,14.3,116,0.9,0,3.5,94,0,0,1.7
Whitman-Hanson,7800000,"1,394",17.5,"3,611",3.2,1.4,6,85.8,0.4,0.1,3.1
Whittier Regional Vocational Technical,8850000,742,12.6,"1,236",2.9,1.5,25.4,66.2,0.5,0,3.5
Williamsburg,3400000,69,12.5,117,3.4,0,5.1,89.7,0,0,1.7
Wilmington,3420000,"1,859",14.9,"2,846",1.4,5.8,4.7,84.1,0.1,0,3.9
Winchendon,3430000,405,17.8,"1,191",2.1,1.9,7,85.2,0.1,0.3,3.5
Winchester,3440000,"3,451",12.8,"4,493",1.2,19,3.4,69.9,0.2,0,6.3
Winthrop,3460000,661,20.6,"1,847",1.4,0.7,16,80.5,0.1,0.1,1.4
Woburn,3470000,"2,985",13.8,"4,332",7.5,7.1,12.4,68.4,0.8,0.2,3.5
Worcester,3480000,"11,791",14.1,"20,660",17.3,6.2,42.9,29,0.2,0,4.5
Worthington,3490000,60,6,58,0,0,5.2,91.4,1.7,0,1.7
Wrentham,3500000,404,18.4,893,1.8,3,5.4,84.8,0.3,0.2,4.5
State Totals,0,"5,02,941",15.5,"9,12,474",9.4,7.2,22.4,56.5,0.2,0.1,4.1