District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Abington,10000,100,16,31,37,15,1,47,53
Academy Of the Pacific Rim Charter Public (District),4120000,109,81,20,4,3,1,92.7,7.3
Acton-Boxborough,6000000,"1,070",12,55,158,344,501,6.3,93.7
Advanced Math and Science Academy Charter (District),4300000,504,29,74,142,127,132,20.4,79.6
Agawam,50000,209,27,65,55,39,23,44,56
Amesbury,70000,126,18,34,46,19,9,41.3,58.7
Amherst-Pelham,6050000,178,5,22,37,65,49,15.2,84.8
Andover,90000,986,70,182,272,289,173,25.6,74.4
Arlington,100000,893,72,149,242,270,160,24.7,75.3
Ashburnham-Westminster,6100000,97,4,23,32,22,16,27.8,72.2
Ashland,140000,377,16,31,86,111,133,12.5,87.5
Assabet Valley Regional Vocational Technical,8010000,68,17,28,15,5,3,66.2,33.8
Athol-Royalston,6150000,97,64,23,7,3,0,89.7,10.3
Atlantis Charter (District),4910000,96,54,25,11,5,1,82.3,17.7
Attleboro,160000,596,181,162,157,69,27,57.6,42.4
Auburn,170000,285,64,87,80,35,19,53,47
Avon,180000,21,2,7,7,5,0,42.9,57.1
Ayer Shirley School District,6160000,110,19,28,29,22,12,42.7,57.3
Barnstable,200000,474,113,120,118,80,43,49.2,50.8
Baystate Academy Charter Public School (District),35020000,13,11,2,0,0,0,100,0
Bedford,230000,275,17,29,67,87,75,16.7,83.3
Belchertown,240000,62,7,5,22,16,12,19.4,80.6
Bellingham,250000,207,60,70,40,24,13,62.8,37.2
Belmont,260000,"1,037",24,67,177,331,438,8.8,91.2
Berkshire Arts and Technology Charter Public (District),4140000,37,9,14,8,5,1,62.2,37.8
Berkshire Hills,6180000,99,8,28,35,20,8,36.4,63.6
Berlin-Boylston,6200000,85,4,18,30,28,5,25.9,74.1
Beverly,300000,269,25,92,82,52,18,43.5,56.5
Billerica,310000,457,71,103,106,93,84,38.1,61.9
Blackstone Valley Regional Vocational Technical,8050000,359,75,112,98,48,26,52.1,47.9
Blackstone-Millville,6220000,91,12,35,27,16,1,51.6,48.4
Blue Hills Regional Vocational Technical,8060000,59,16,26,13,2,2,71.2,28.8
Boston,350000,"5,505","1,614","1,335","1,136",898,522,53.6,46.4
Boston Collegiate Charter (District),4490000,218,85,87,36,8,2,78.9,21.1
Boston Green Academy Horace Mann Charter School (District),4110000,59,54,5,0,0,0,100,0
Boston Preparatory Charter Public (District),4160000,63,46,13,4,0,0,93.7,6.3
Bourne,360000,135,16,37,43,23,16,39.3,60.7
Braintree,400000,774,57,121,229,211,156,23,77
Bridgewater-Raynham,6250000,370,47,99,101,93,30,39.5,60.5
Bristol County Agricultural,9100000,54,12,26,11,4,1,70.4,29.6
Bristol-Plymouth Regional Vocational Technical,8100000,67,26,19,15,6,1,67.2,32.8
Brockton,440000,423,203,121,57,30,12,76.6,23.4
Brooke Charter School (District),4280000,319,162,73,52,23,9,73.7,26.3
Brookline,460000,757,12,49,150,255,291,8.1,91.9
Burlington,480000,245,23,43,71,72,36,26.9,73.1
Cambridge,490000,758,62,112,173,216,195,23,77
Canton,500000,571,81,140,127,130,93,38.7,61.3
Cape Cod Regional Vocational Technical,8150000,26,3,15,6,2,0,69.2,30.8
Carver,520000,106,24,41,26,12,3,61.3,38.7
Central Berkshire,6350000,167,45,65,37,14,6,65.9,34.1
Chelmsford,560000,460,37,99,140,114,70,29.6,70.4
Chelsea,570000,166,53,59,35,16,3,67.5,32.5
Chicopee,610000,389,128,136,61,47,17,67.9,32.1
City on a Hill Charter Public School Circuit Street (District),4370000,50,45,5,0,0,0,100,0
Clinton,640000,98,35,40,15,4,4,76.5,23.5
Codman Academy Charter Public (District),4380000,18,17,1,0,0,0,100,0
Cohasset,650000,400,30,83,112,108,67,28.3,71.8
Community Charter School of Cambridge (District),4360000,88,35,26,15,10,2,69.3,30.7
Concord-Carlisle,6400000,512,5,32,94,173,208,7.2,92.8
Danvers,710000,361,70,90,101,69,31,44.3,55.7
Dartmouth,720000,600,44,179,202,120,55,37.2,62.8
Dedham,730000,333,68,86,99,51,29,46.2,53.8
Dennis-Yarmouth,6450000,268,31,65,86,55,31,35.8,64.2
Dighton-Rehoboth,6500000,247,28,59,68,68,24,35.2,64.8
Douglas,770000,138,26,46,43,13,10,52.2,47.8
Dover-Sherborn,6550000,550,2,29,148,179,192,5.6,94.4
Dracut,790000,184,25,63,45,37,14,47.8,52.2
Dudley-Charlton Reg,6580000,476,101,138,141,55,41,50.2,49.8
Duxbury,820000,682,82,140,179,172,109,32.6,67.4
East Bridgewater,830000,285,57,119,54,38,17,61.8,38.2
East Longmeadow,870000,257,27,53,78,61,38,31.1,68.9
Easthampton,860000,154,44,52,33,18,7,62.3,37.7
Easton,880000,529,64,136,149,112,68,37.8,62.2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,73,48,24,1,0,0,98.6,1.4
Essex North Shore Agricultural and Technical School District,8170000,149,21,34,49,30,15,36.9,63.1
Everett,930000,355,134,110,66,33,12,68.7,31.3
Excel Academy Charter (District),4100000,602,291,175,79,36,21,77.4,22.6
Fairhaven,940000,314,19,88,104,78,25,34.1,65.9
Fall River,950000,487,123,154,148,52,10,56.9,43.1
Falmouth,960000,230,36,47,66,56,25,36.1,63.9
Fitchburg,970000,494,245,134,66,35,14,76.7,23.3
Foxborough,990000,426,34,107,109,110,66,33.1,66.9
Foxborough Regional Charter (District),4460000,176,27,45,54,39,11,40.9,59.1
Framingham,1000000,820,78,148,225,225,144,27.6,72.4
Francis W. Parker Charter Essential (District),4780000,14,2,6,3,1,2,57.1,42.9
Franklin,1010000,"1,022",125,186,269,286,156,30.4,69.6
Franklin County Regional Vocational Technical,8180000,14,8,2,2,2,0,71.4,28.6
Freetown-Lakeville,6650000,336,39,78,104,84,31,34.8,65.2
Frontier,6700000,182,23,47,45,37,30,38.5,61.5
Gardner,1030000,115,38,34,20,15,8,62.6,37.4
Gateway,6720000,50,6,12,17,11,4,36,64
Georgetown,1050000,117,3,12,33,39,30,12.8,87.2
Gill-Montague,6740000,30,7,13,6,3,1,66.7,33.3
Gloucester,1070000,160,33,39,42,28,18,45,55
Grafton,1100000,332,32,54,100,99,47,25.9,74.1
Granby,1110000,64,7,27,23,5,2,53.1,46.9
Greater Fall River Regional Vocational Technical,8210000,78,41,25,10,2,0,84.6,15.4
Greater Lowell Regional Vocational Technical,8280000,131,42,45,32,10,2,66.4,33.6
Greater New Bedford Regional Vocational Technical,8250000,79,10,49,14,5,1,74.7,25.3
Greenfield,1140000,129,30,49,26,14,10,61.2,38.8
Greenfield Commonwealth Virtual District,39010000,27,6,7,8,4,2,48.1,51.9
Groton-Dunstable,6730000,370,23,70,110,102,65,25.1,74.9
Hadley,1170000,44,6,7,23,4,4,29.5,70.5
Hamilton-Wenham,6750000,219,38,45,61,53,22,37.9,62.1
Hampden Charter School of Science East (District),4990000,200,55,48,59,32,6,51.5,48.5
Hampden Charter School of Science West (District),35160000,2,,,,,,,
Hampden-Wilbraham,6800000,274,15,48,85,83,43,23,77
Hampshire,6830000,169,28,47,49,32,13,44.4,55.6
Hanover,1220000,494,54,138,148,113,41,38.9,61.1
Harvard,1250000,257,6,27,58,68,98,12.8,87.2
Hatfield,1270000,65,8,30,19,3,5,58.5,41.5
Haverhill,1280000,483,104,145,131,75,28,51.6,48.4
Hingham,1310000,588,15,62,170,196,145,13.1,86.9
Holbrook,1330000,74,7,33,18,10,6,54.1,45.9
Holliston,1360000,452,67,103,117,98,67,37.6,62.4
Holyoke,1370000,109,44,35,13,10,7,72.5,27.5
Hoosac Valley Regional,6030000,120,41,47,22,8,2,73.3,26.7
Hopedale,1380000,156,21,31,49,39,16,33.3,66.7
Hopkinton,1390000,"1,087",33,78,267,374,335,10.2,89.8
Hudson,1410000,193,35,59,48,36,15,48.7,51.3
Hull,1420000,107,10,35,21,31,10,42.1,57.9
Innovation Academy Charter (District),4350000,5,,,,,,,
Ipswich,1440000,266,9,48,63,66,80,21.4,78.6
KIPP Academy Lynn Charter (District),4290000,155,72,53,21,4,5,80.6,19.4
King Philip,6900000,827,50,184,224,227,142,28.3,71.7
Lawrence,1490000,362,182,94,41,25,20,76.2,23.8
Lee,1500000,63,3,22,22,10,6,39.7,60.3
Leicester,1510000,102,17,27,31,21,6,43.1,56.9
Lenox,1520000,105,23,38,12,13,19,58.1,41.9
Leominster,1530000,300,108,66,58,45,23,58,42
Lexington,1550000,"1,848",47,142,341,565,753,10.2,89.8
Lincoln-Sudbury,6950000,359,10,12,66,113,158,6.1,93.9
Littleton,1580000,186,8,23,38,57,60,16.7,83.3
Longmeadow,1590000,269,14,43,68,97,47,21.2,78.8
Lowell,1600000,214,54,65,42,33,20,55.6,44.4
Ludlow,1610000,250,36,98,74,32,10,53.6,46.4
Lunenburg,1620000,169,7,33,61,44,24,23.7,76.3
Lynn,1630000,781,370,229,115,48,19,76.7,23.3
Lynnfield,1640000,403,43,90,119,96,55,33,67
MATCH Charter Public School (District),4690000,230,169,52,9,0,0,96.1,3.9
Ma Academy for Math and Science,4680000,129,3,20,19,43,44,17.8,82.2
Malden,1650000,391,70,116,105,60,40,47.6,52.4
Manchester Essex Regional,6980000,391,34,53,128,107,69,22.3,77.7
Mansfield,1670000,544,25,97,175,160,87,22.4,77.6
Marblehead,1680000,701,61,183,199,162,96,34.8,65.2
Marlborough,1700000,373,120,124,81,30,18,65.4,34.6
Marshfield,1710000,397,37,82,146,92,40,30,70
Martha's Vineyard,7000000,328,67,92,88,62,19,48.5,51.5
Masconomet,7050000,339,11,45,80,128,75,16.5,83.5
Mashpee,1720000,196,35,62,46,39,14,49.5,50.5
Maynard,1740000,130,12,36,32,27,23,36.9,63.1
Medfield,1750000,494,63,73,113,156,89,27.5,72.5
Medford,1760000,296,21,72,71,80,52,31.4,68.6
Medway,1770000,484,47,130,157,97,53,36.6,63.4
Melrose,1780000,486,40,118,149,126,53,32.5,67.5
Mendon-Upton,7100000,456,79,92,123,109,53,37.5,62.5
Methuen,1810000,576,122,188,167,80,19,53.8,46.2
Middleborough,1820000,210,29,53,66,44,18,39,61
Milford,1850000,372,54,100,105,81,32,41.4,58.6
Millbury,1860000,137,33,49,36,14,5,59.9,40.1
Millis,1870000,189,18,36,51,45,39,28.6,71.4
Milton,1890000,779,102,155,230,178,114,33,67
Minuteman Regional Vocational Technical,8300000,22,4,7,7,4,0,50,50
Mohawk Trail,7170000,46,6,17,11,6,6,50,50
Monomoy Regional School District,7120000,212,28,47,74,47,16,35.4,64.6
Monson,1910000,70,22,23,12,7,6,64.3,35.7
Montachusett Regional Vocational Technical,8320000,189,39,79,53,11,7,62.4,37.6
Mount Greylock,7150000,291,55,60,82,50,44,39.5,60.5
Nantucket,1970000,222,66,78,46,21,11,64.9,35.1
Narragansett,7200000,125,33,36,32,20,4,55.2,44.8
Nashoba,7250000,556,75,101,150,142,88,31.7,68.3
Nashoba Valley Regional Vocational Technical,8520000,68,25,24,16,3,0,72.1,27.9
Natick,1980000,824,36,96,186,261,245,16,84
Nauset,6600000,501,61,102,169,119,50,32.5,67.5
Needham,1990000,876,18,71,175,321,291,10.2,89.8
Neighborhood House Charter (District),4440000,55,28,27,0,0,0,100,0
New Bedford,2010000,552,186,154,140,52,20,61.6,38.4
Newburyport,2040000,379,61,83,104,90,41,38,62
Newton,2070000,"1,474",77,164,310,481,442,16.4,83.6
Norfolk County Agricultural,9150000,1,,,,,,,
North Adams,2090000,148,92,30,15,9,2,82.4,17.6
North Andover,2110000,455,23,68,135,133,96,20,80
North Attleborough,2120000,532,70,111,158,130,63,34,66
North Brookfield,2150000,16,2,8,5,0,1,62.5,37.5
North Middlesex,7350000,279,36,99,80,44,20,48.4,51.6
North Reading,2170000,291,15,49,90,89,48,22,78
Northampton,2100000,420,39,101,114,99,67,33.3,66.7
Northampton-Smith Vocational Agricultural,4060000,39,18,17,4,0,0,89.7,10.3
Northboro-Southboro,7300000,935,25,97,259,319,235,13,87
Northbridge,2140000,190,55,46,40,32,17,53.2,46.8
Northeast Metropolitan Regional Vocational Technical,8530000,111,73,27,10,1,0,90.1,9.9
Northern Berkshire Regional Vocational Technical,8510000,20,12,6,1,1,0,90,10
Norton,2180000,354,52,105,107,73,17,44.4,55.6
Norwell,2190000,458,47,93,133,107,78,30.6,69.4
Norwood,2200000,262,33,68,91,50,20,38.5,61.5
Old Colony Regional Vocational Technical,8550000,75,21,30,14,7,3,68,32
Old Rochester,7400000,422,39,94,144,88,57,31.5,68.5
Oxford,2260000,122,28,45,24,15,10,59.8,40.2
Palmer,2270000,58,21,11,17,6,3,55.2,44.8
Pathfinder Regional Vocational Technical,8600000,104,58,35,9,1,1,89.4,10.6
Paulo Freire Social Justice Charter School (District),35010000,15,13,2,0,0,0,100,0
Peabody,2290000,308,30,104,79,73,22,43.5,56.5
Pembroke,2310000,388,47,105,117,83,36,39.2,60.8
Pentucket,7450000,332,35,87,104,68,38,36.7,63.3
Pioneer Charter School of Science (District),4940000,149,47,40,37,19,6,58.4,41.6
Pioneer Charter School of Science II (PCSS-II) (District),35060000,166,37,38,47,31,13,45.2,54.8
Pioneer Valley,7500000,61,19,25,9,8,0,72.1,27.9
Pioneer Valley Performing Arts Charter Public (District),4790000,7,,,,,,,
Pittsfield,2360000,490,134,155,142,42,17,59,41
Plymouth,2390000,994,123,270,314,194,93,39.5,60.5
Prospect Hill Academy Charter (District),4870000,70,23,30,13,4,0,75.7,24.3
Quabbin,7530000,164,33,58,36,21,16,55.5,44.5
Quaboag Regional,7780000,199,30,68,59,28,14,49.2,50.8
Quincy,2430000,570,37,87,169,165,112,21.8,78.2
Ralph C Mahar,7550000,65,8,27,19,8,3,53.8,46.2
Randolph,2440000,156,49,40,39,20,8,57.1,42.9
Reading,2460000,326,21,64,93,99,49,26.1,73.9
Revere,2480000,358,72,120,82,56,28,53.6,46.4
Rising Tide Charter Public (District),4830000,25,5,8,8,1,3,52,48
Rockland,2510000,117,27,51,25,12,2,66.7,33.3
Rockport,2520000,147,49,41,34,19,4,61.2,38.8
Roxbury Preparatory Charter (District),4840000,892,633,182,65,11,1,91.4,8.6
Sabis International Charter (District),4410000,71,38,18,11,2,2,78.9,21.1
Salem,2580000,132,21,37,34,21,19,43.9,56.1
Salem Academy Charter (District),4850000,241,74,77,54,25,11,62.7,37.3
Sandwich,2610000,290,80,84,65,40,21,56.6,43.4
Saugus,2620000,178,38,50,41,35,14,49.4,50.6
Scituate,2640000,516,62,145,153,109,47,40.1,59.9
Seekonk,2650000,281,74,54,57,61,35,45.6,54.4
Sharon,2660000,670,24,56,145,205,240,11.9,88.1
Shawsheen Valley Regional Vocational Technical,8710000,1,,,,,,,
Shrewsbury,2710000,852,35,105,190,260,262,16.4,83.6
Silver Lake,7600000,389,32,83,135,103,36,29.6,70.4
Sizer School: A North Central Charter Essential (District),4740000,27,7,18,2,0,0,92.6,7.4
Somerset Berkley Regional School District,7630000,461,47,105,129,113,67,33,67
Somerville,2740000,458,114,134,110,66,34,54.1,45.9
South Hadley,2780000,200,31,53,67,37,12,42,58
South Middlesex Regional Vocational Technical,8290000,76,18,29,16,12,1,61.8,38.2
South Shore Charter Public (District),4880000,118,22,50,29,13,4,61,39
South Shore Regional Vocational Technical,8730000,3,,,,,,,
Southbridge,2770000,75,33,30,8,3,1,84,16
Southeastern Regional Vocational Technical,8720000,88,27,35,19,6,1,70.5,29.5
Southern Berkshire,7650000,37,9,5,10,11,2,37.8,62.2
Southern Worcester County Regional Vocational Technical,8760000,170,51,62,28,22,7,66.5,33.5
Southwick-Tolland-Granville Regional School District,7660000,91,26,20,27,13,5,50.5,49.5
Spencer-E Brookfield,7670000,48,7,13,19,7,2,41.7,58.3
Springfield,2810000,975,506,262,139,57,11,78.8,21.2
Stoneham,2840000,213,20,51,71,56,15,33.3,66.7
Stoughton,2850000,242,75,66,65,32,4,58.3,41.7
Sutton,2900000,208,26,68,60,39,15,45.2,54.8
Swampscott,2910000,439,32,105,127,105,70,31.2,68.8
Swansea,2920000,199,49,49,58,37,6,49.2,50.8
TEC Connections Academy Commonwealth Virtual School District,39020000,73,8,19,21,16,9,37,63
Tantasqua,7700000,327,31,89,98,72,37,36.7,63.3
Taunton,2930000,430,135,125,94,46,30,60.5,39.5
Tewksbury,2950000,381,48,94,99,111,29,37.3,62.7
Tri-County Regional Vocational Technical,8780000,83,20,33,18,10,2,63.9,36.1
Triton,7730000,129,7,33,41,31,17,31,69
Tyngsborough,3010000,131,15,27,42,34,13,32.1,67.9
Upper Cape Cod Regional Vocational Technical,8790000,24,7,9,8,0,0,66.7,33.3
Uxbridge,3040000,180,56,68,35,16,5,68.9,31.1
Wachusett,7750000,651,32,108,186,209,116,21.5,78.5
Wakefield,3050000,458,76,115,136,87,44,41.7,58.3
Walpole,3070000,405,12,39,131,138,85,12.6,87.4
Waltham,3080000,530,119,146,121,88,56,50,50
Ware,3090000,46,7,12,14,8,5,41.3,58.7
Wareham,3100000,132,63,38,21,10,0,76.5,23.5
Watertown,3140000,150,7,24,46,38,35,20.7,79.3
Wayland,3150000,434,5,28,86,146,169,7.6,92.4
Webster,3160000,113,48,33,16,10,6,71.7,28.3
Wellesley,3170000,837,59,89,182,264,243,17.7,82.3
West Boylston,3220000,96,15,24,27,16,14,40.6,59.4
West Bridgewater,3230000,177,30,71,46,27,3,57.1,42.9
West Springfield,3320000,442,77,138,132,71,24,48.6,51.4
Westborough,3210000,543,25,54,123,191,150,14.5,85.5
Westfield,3250000,217,47,79,60,27,4,58.1,41.9
Westford,3260000,817,11,50,154,262,340,7.5,92.5
Weston,3300000,548,47,91,132,130,148,25.2,74.8
Westport,3310000,113,42,26,30,14,1,60.2,39.8
Westwood,3350000,753,36,95,191,262,169,17.4,82.6
Weymouth,3360000,574,97,128,172,125,52,39.2,60.8
Whitman-Hanson,7800000,456,54,156,133,91,22,46.1,53.9
Whittier Regional Vocational Technical,8850000,25,12,8,4,1,0,80,20
Wilmington,3420000,456,70,99,137,95,55,37.1,62.9
Winchendon,3430000,30,5,12,9,3,1,56.7,43.3
Winchester,3440000,808,39,73,172,250,274,13.9,86.1
Winthrop,3460000,335,133,100,57,33,12,69.6,30.4
Woburn,3470000,344,36,104,89,71,44,40.7,59.3
Worcester,3480000,"2,060",957,467,346,192,98,69.1,30.9
State Totals,0,"94,879","16,372","20,723","23,162","20,378","14,244",39.1,60.9