District Name,District Code,# Enrolled,# Retained,% Retained,01,02,03,04,05,06,07,08,09,10,11,12
Abby Kelley Foster Charter Public (District),04450000,"       1,308",           1,   0.1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0
Abington,00010000,"       1,885",           3,   0.2,           3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Academy Of the Pacific Rim Charter Public (District),04120000,         540,           4,   0.7,,,,,           0,           0,           0,           0,           4,           0,           0,           0
Acton-Boxborough,06000000,"       4,844",           7,   0.1,           0,           3,           0,           0,           0,           0,           0,           0,           1,           0,           0,           3
Acushnet,00030000,         796,           4,   0.5,           1,           0,           0,           0,           0,           0,           2,           1,,,,
Advanced Math and Science Academy Charter (District),04300000,         966,           1,   0.1,,,,,,           0,           0,           0,           0,           1,           0,           0
Agawam,00050000,"       3,175",          19,   0.6,           2,           2,           0,           0,           1,           0,           0,           0,          12,           1,           0,           1
Alma del Mar Charter School (District),04090000,         697,           6,   0.9,           3,           0,           0,           0,           1,           2,           0,           0,,,,
Amesbury,00070000,"       1,685",          13,   0.8,           0,           2,           1,           0,           0,           0,           0,           1,           0,           1,           1,           7
Amherst,00080000,         870,           1,   0.1,           1,           0,           0,           0,           0,           0,,,,,,
Amherst-Pelham,06050000,"       1,275",          16,   1.3,,,,,,,           0,           0,           2,           6,           4,           4
Andover,00090000,"       5,179",          16,   0.3,           1,           0,           0,           1,           0,           0,           2,           0,           6,           3,           0,           3
Argosy Collegiate Charter School (District),35090000,         571,           2,   0.4,,,,,,           0,           0,           0,           0,           2,           0,           0
Arlington,00100000,"       5,237",           9,   0.2,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           6
Ashburnham-Westminster,06100000,"       2,017",          11,   0.5,           2,           2,           3,           0,           0,           0,           0,           0,           0,           1,           0,           3
Ashland,00140000,"       2,488",           2,   0.1,           1,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0
Assabet Valley Regional Vocational Technical,08010000,"       1,149",           0,   0.0,,,,,,,,,           0,           0,           0,           0
Athol-Royalston,06150000,"       1,275",           2,   0.2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0
Atlantis Charter (District),04910000,"       1,186",           3,   0.3,           1,           0,           0,           0,           0,           0,           0,           0,           1,           1,           0,           0
Attleboro,00160000,"       5,298",          18,   0.3,           1,           0,           1,           0,           0,           0,           0,           0,           2,           2,           7,           5
Auburn,00170000,"       2,286",           4,   0.2,           1,           0,           0,           0,           0,           1,           0,           0,           0,           0,           0,           2
Avon,00180000,         630,           6,   1.0,           0,           1,           0,           0,           0,           1,           0,           0,           2,           0,           2,           0
Ayer Shirley School District,06160000,"       1,434",           9,   0.6,           5,           3,           0,           0,           0,           0,           0,           0,           1,           0,           0,           0
Barnstable,00200000,"       4,251",          61,   1.4,           3,           0,           0,           0,           0,           0,           0,           0,          15,          17,          15,          11
Baystate Academy Charter Public School (District),35020000,         469,           4,   0.9,,,,,,           1,           1,           0,           1,           0,           0,           1
Bedford,00230000,"       2,427",           4,   0.2,           1,           1,           0,           0,           0,           0,           0,           0,           1,           1,           0,           0
Belchertown,00240000,"       1,968",          13,   0.7,           1,           0,           1,           0,           0,           0,           0,           0,           4,           5,           2,           0
Bellingham,00250000,"       1,799",           9,   0.5,           1,           1,           1,           0,           0,           0,           2,           0,           0,           1,           3,           0
Belmont,00260000,"       4,119",           1,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0
Benjamin Banneker Charter Public (District),04200000,         273,           1,   0.4,           1,           0,           0,           0,           0,           0,,,,,,
Benjamin Franklin Classical Charter Public (District),04470000,         680,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Berkley,00270000,         746,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Berkshire Arts and Technology Charter Public (District),04140000,         372,           1,   0.3,,,,,,           0,           0,           0,           0,           1,           0,           0
Berkshire Hills,06180000,"       1,080",           9,   0.8,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           5,           4
Berlin-Boylston,06200000,         939,           2,   0.2,           0,           1,           0,           0,           0,           0,           1,           0,           0,           0,           0,           0
Beverly,00300000,"       4,171",          18,   0.4,           2,           1,           1,           0,           0,           2,           0,           1,           4,           4,           3,           0
Billerica,00310000,"       4,082",          20,   0.5,           4,           1,           0,           1,           0,           0,           0,           1,           8,           3,           2,           0
Blackstone Valley Regional Vocational Technical,08050000,"       1,231",           1,   0.1,,,,,,,,,           0,           0,           0,           1
Blackstone-Millville,06220000,"       1,410",          13,   0.9,           0,           0,           0,           0,           0,           1,           0,           0,           7,           3,           2,           0
Blue Hills Regional Vocational Technical,08060000,         890,           1,   0.1,,,,,,,,,           1,           0,           0,           0
Boston,00350000,"      41,960",         451,   1.1,          34,          22,          10,           5,           8,           3,           4,          11,          83,          43,          80,         148
Boston Collegiate Charter (District),04490000,         723,          12,   1.7,,,,,           1,           0,           3,           0,           2,           3,           1,           2
Boston Day and Evening Academy Charter (District),04240000,         356,         186,  52.2,,,,,,,,,          50,           9,           0,         127
Boston Green Academy Horace Mann Charter School (District),04110000,         505,           1,   0.2,,,,,,           0,           0,           0,           0,           0,           0,           1
Boston Preparatory Charter Public (District),04160000,         671,           5,   0.7,,,,,,           0,           0,           0,           3,           0,           0,           2
Boston Renaissance Charter Public (District),04810000,         701,           2,   0.3,           0,           0,           2,           0,           0,           0,,,,,,
Bourne,00360000,"       1,519",           8,   0.5,           2,           0,           1,           0,           0,           0,           0,           0,           2,           0,           2,           1
Boxford,00380000,         574,           1,   0.2,           1,           0,           0,           0,           0,           0,,,,,,
Braintree,00400000,"       5,064",          20,   0.4,          10,           4,           1,           1,           0,           0,           0,           0,           0,           0,           3,           1
Brewster,00410000,         335,           1,   0.3,           0,           1,           0,           0,           0,,,,,,,
Bridge Boston Charter School (District),04170000,         267,           3,   1.1,           2,           0,           0,           1,           0,           0,           0,           0,,,,
Bridgewater-Raynham,06250000,"       4,782",          18,   0.4,           6,           1,           0,           1,           0,           0,           1,           0,           0,           3,           3,           3
Brimfield,00430000,         228,           1,   0.4,           0,           0,           0,           0,           0,           1,,,,,,
Bristol County Agricultural,09100000,         448,           0,   0.0,,,,,,,,,           0,           0,           0,           0
Bristol-Plymouth Regional Vocational Technical,08100000,"       1,319",           0,   0.0,,,,,,,,,           0,           0,           0,           0
Brockton,00440000,"      13,965",         187,   1.3,          19,           4,           2,           3,           3,           3,           3,           2,          86,          32,          16,          14
Brooke Charter School (District),04280000,"       1,868",          70,   3.7,          10,           9,           7,           3,           2,           4,           7,          10,           8,           7,           3,           0
Brookfield,00450000,         222,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Brookline,00460000,"       6,232",           6,   0.1,           1,           0,           0,           0,           1,           0,           0,           0,           0,           0,           0,           4
Burlington,00480000,"       3,055",           7,   0.2,           2,           1,           0,           0,           1,           0,           0,           0,           1,           1,           1,           0
Cambridge,00490000,"       5,625",          58,   1.0,           2,           4,           3,           1,           1,           0,           0,           1,          18,          15,           9,           4
Canton,00500000,"       2,915",           9,   0.3,           1,           2,           1,           0,           1,           0,           1,           0,           0,           1,           1,           1
Cape Cod Lighthouse Charter (District),04320000,         250,           1,   0.4,,,,,,           1,           0,           0,,,,
Cape Cod Regional Vocational Technical,08150000,         626,           4,   0.6,,,,,,,,,           1,           1,           2,           0
Carlisle,00510000,         517,           1,   0.2,           0,           1,           0,           0,           0,           0,           0,           0,,,,
Carver,00520000,"       1,343",           3,   0.2,           3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Central Berkshire,06350000,"       1,393",           8,   0.6,           0,           0,           0,           0,           0,           0,           0,           0,           4,           3,           1,           0
Chelmsford,00560000,"       4,400",          14,   0.3,           1,           0,           1,           0,           0,           1,           2,           0,           3,           0,           3,           3
Chelsea,00570000,"       5,393",         135,   2.5,           4,           1,           2,           0,           0,           0,           0,           0,          48,          36,          29,          15
Chesterfield-Goshen,06320000,          90,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Chicopee,00610000,"       6,315",          41,   0.6,           6,           0,           2,           2,           0,           0,           0,           0,           4,          11,           0,          16
Christa McAuliffe Charter Public (District),04180000,         399,           0,   0.0,,,,,,           0,           0,           0,,,,
City on a Hill Charter Public School Circuit Street (District),04370000,         299,          50,  16.7,,,,,,,,,          22,          19,           3,           6
Clarksburg,00630000,         172,           1,   0.6,           0,           0,           1,           0,           0,           0,           0,           0,,,,
Clinton,00640000,"       1,639",           7,   0.4,           0,           0,           0,           0,           0,           1,           0,           0,           2,           3,           1,           0
Codman Academy Charter Public (District),04380000,         308,           2,   0.6,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           1,           0
Cohasset,00650000,"       1,323",           2,   0.2,           1,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0
Collegiate Charter School of Lowell (District),35030000,         938,           4,   0.4,           1,           0,           0,           0,           0,           1,           0,           0,           2,           0,,
Community Charter School of Cambridge (District),04360000,         304,           2,   0.7,,,,,,           0,           0,           0,           1,           1,           0,           0
Community Day Charter Public School - Gateway (District),04260000,         326,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Community Day Charter Public School - Prospect (District),04400000,         346,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Community Day Charter Public School - R. Kingman Webster (District),04310000,         326,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Concord,00670000,"       1,789",           4,   0.2,           0,           2,           0,           1,           0,           0,           0,           1,,,,
Concord-Carlisle,06400000,"       1,311",           2,   0.2,,,,,,,,,           1,           0,           0,           1
Conservatory Lab Charter (District),04390000,         359,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Conway,00680000,         105,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Danvers,00710000,"       2,954",           5,   0.2,           0,           0,           0,           0,           0,           0,           0,           1,           1,           0,           0,           3
Dartmouth,00720000,"       3,127",          15,   0.5,           1,           0,           0,           1,           0,           0,           0,           0,           4,           5,           3,           1
Dedham,00730000,"       2,274",          15,   0.7,           3,           0,           0,           0,           0,           0,           0,           0,           3,           3,           4,           2
Deerfield,00740000,         279,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Dennis-Yarmouth,06450000,"       2,456",          17,   0.7,           2,           2,           1,           0,           0,           1,           0,           2,           0,           1,           1,           7
Dighton-Rehoboth,06500000,"       2,386",          21,   0.9,           0,           1,           0,           0,           1,           0,           0,           0,          11,           3,           0,           5
Douglas,00770000,"       1,060",           6,   0.6,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0,           5
Dover,00780000,         406,           0,   0.0,           0,           0,           0,           0,           0,,,,,,,
Dover-Sherborn,06550000,"       1,181",           0,   0.0,,,,,,           0,           0,           0,           0,           0,           0,           0
Dracut,00790000,"       3,311",          16,   0.5,           3,           1,           0,           0,           0,           0,           0,           0,           9,           3,           0,           0
Dudley Street Neighborhood Charter School (District),04070000,         202,           2,   1.0,           0,           0,           0,           0,           2,,,,,,,
Dudley-Charlton Reg,06580000,"       3,143",          33,   1.0,           4,           0,           0,           0,           0,           0,           0,           1,          20,           3,           4,           1
Duxbury,00820000,"       2,575",           3,   0.1,           0,           0,           0,           0,           0,           1,           0,           0,           0,           0,           0,           2
East Bridgewater,00830000,"       1,877",           1,   0.1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0
East Longmeadow,00870000,"       2,251",           6,   0.3,           1,           0,           3,           0,           0,           1,           0,           1,           0,           0,           0,           0
Eastham,00850000,         151,           0,   0.0,           0,           0,           0,           0,           0,,,,,,,
Easthampton,00860000,"       1,312",           7,   0.5,           0,           0,           0,           0,           0,           0,           0,           0,           3,           3,           1,           0
Easton,00880000,"       3,193",           8,   0.3,           3,           0,           2,           0,           0,           0,           0,           0,           0,           2,           0,           1
Edgartown,00890000,         337,           1,   0.3,           0,           0,           0,           0,           0,           0,           1,           0,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,         385,           0,   0.0,,,,,,,,,           0,           0,           0,           0
Erving,00910000,          86,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Essex North Shore Agricultural and Technical School District,08170000,"       1,564",           3,   0.2,,,,,,,,,           1,           0,           2,           0
Everett,00930000,"       6,269",          49,   0.8,           2,           0,           2,           0,           0,           0,           0,           0,           3,           3,           3,          36
Excel Academy Charter (District),04100000,"       1,389",           3,   0.2,,,,,           2,           1,           0,           0,           0,           0,           0,           0
Fairhaven,00940000,"       1,780",           8,   0.4,           1,           1,           2,           0,           0,           0,           0,           0,           1,           0,           2,           1
Fall River,00950000,"       9,060",         103,   1.1,           6,           3,           2,           1,           0,           0,           9,           5,           3,          34,          15,          25
Falmouth,00960000,"       2,750",          21,   0.8,           1,           0,           0,           0,           0,           0,           0,           0,           7,          11,           2,           0
Farmington River Reg,06620000,          73,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Fitchburg,00970000,"       4,687",          23,   0.5,           3,           3,           3,           0,           0,           1,           1,           0,           0,           1,           5,           6
Florida,00980000,          69,           0,   0.0,           0,           0,,           0,           0,,           0,           0,,,,
Four Rivers Charter Public (District),04130000,         215,           1,   0.5,,,,,,,           0,           0,           0,           0,           0,           1
Foxborough,00990000,"       2,205",           5,   0.2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           3
Foxborough Regional Charter (District),04460000,"       1,566",           4,   0.3,           1,           0,           0,           0,           1,           0,           0,           0,           2,           0,           0,           0
Framingham,01000000,"       7,878",          85,   1.1,           3,           2,           1,           2,           0,           0,           0,           0,          36,          22,          14,           5
Francis W. Parker Charter Essential (District),04780000,         399,           5,   1.3,,,,,,,           0,           0,           1,           0,           3,           1
Franklin,01010000,"       4,486",           9,   0.2,           1,           1,           1,           0,           0,           0,           0,           0,           4,           1,           1,           0
Franklin County Regional Vocational Technical,08180000,         555,           2,   0.4,,,,,,,,,           1,           1,           0,           0
Freetown-Lakeville,06650000,"       2,470",          15,   0.6,           1,           0,           0,           0,           2,           0,           1,           0,           3,           2,           2,           4
Frontier,06700000,         643,           5,   0.8,,,,,,,           0,           0,           0,           2,           2,           1
Gardner,01030000,"       1,993",          34,   1.7,           1,           0,           0,           0,           0,           0,           1,           0,          22,           5,           2,           3
Gateway,06720000,         678,           3,   0.4,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           2,           0
Georgetown,01050000,"       1,118",           1,   0.1,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Gill-Montague,06740000,         751,           2,   0.3,           0,           1,           0,           0,           0,           0,           0,           0,           1,           0,           0,           0
Global Learning Charter Public (District),04960000,         503,           2,   0.4,,,,,           1,           0,           1,           0,           0,           0,           0,           0
Gloucester,01070000,"       2,469",          68,   2.8,           5,           0,           1,           0,           0,           0,           0,           0,          37,          16,           6,           3
Gosnold,01090000,           4,,,,,,,,,,,,,,
Grafton,01100000,"       2,826",           6,   0.2,           2,           0,           0,           0,           0,           0,           0,           0,           1,           2,           0,           1
Granby,01110000,         645,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Greater Fall River Regional Vocational Technical,08210000,"       1,452",           1,   0.1,,,,,,,,,           0,           0,           0,           1
Greater Lawrence Regional Vocational Technical,08230000,"       1,634",           3,   0.2,,,,,,,,,           0,           1,           0,           2
Greater Lowell Regional Vocational Technical,08280000,"       2,278",           2,   0.1,,,,,,,,,           0,           1,           1,           0
Greater New Bedford Regional Vocational Technical,08250000,"       2,113",           5,   0.2,,,,,,,,,           1,           0,           3,           1
Greenfield,01140000,"       1,370",          20,   1.5,           6,           1,           2,           0,           0,           0,           0,           0,           8,           3,           0,           0
Greenfield Commonwealth Virtual District,39010000,         911,          90,   9.9,           0,           2,           0,           2,           1,           3,           1,           3,          39,          21,          14,           4
Groton-Dunstable,06730000,"       2,093",           2,   0.1,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0
Hadley,01170000,         452,           3,   0.7,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0,           2
Halifax,01180000,         502,           1,   0.2,           1,           0,           0,           0,           0,           0,,,,,,
Hamilton-Wenham,06750000,"       1,537",           2,   0.1,           0,           0,           0,           0,           1,           0,           0,           0,           0,           0,           0,           1
Hampden Charter School of Science East (District),04990000,         540,           9,   1.7,,,,,,           3,           1,           2,           3,           0,           0,           0
Hampden Charter School of Science West (District),35160000,         320,           2,   0.6,,,,,,           1,           0,           0,           1,           0,           0,
Hampden-Wilbraham,06800000,"       2,624",          15,   0.6,           1,           0,           0,           0,           0,           0,           0,           0,          11,           3,           0,           0
Hampshire,06830000,         678,           1,   0.1,,,,,,,           1,           0,           0,           0,           0,           0
Hancock,01210000,          47,           1,   2.1,           0,           0,,           0,           0,           1,,,,,,
Hanover,01220000,"       2,365",          14,   0.6,           1,           3,           1,           1,           1,           0,           0,           1,           0,           1,           1,           4
Harvard,01250000,         937,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Hatfield,01270000,         368,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Haverhill,01280000,"       7,084",          63,   0.9,           2,           1,           0,           1,           0,           1,           1,           1,          41,           1,           9,           5
Hawlemont,06850000,          92,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Helen Y. Davis Leadership Academy Charter Public (District),04190000,         193,           2,   1.0,,,,,,           0,           0,           2,,,,
Hill View Montessori Charter Public (District),04550000,         268,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Hilltown Cooperative Charter Public (District),04500000,         198,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Hingham,01310000,"       3,648",           6,   0.2,           2,           1,           0,           0,           0,           0,           0,           0,           0,           1,           1,           1
Holbrook,01330000,"       1,139",          29,   2.5,           2,           0,           0,           0,           0,           0,           0,           0,          13,           8,           4,           2
Holland,01350000,         163,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Holliston,01360000,"       2,512",           4,   0.2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           1,           2
Holyoke,01370000,"       4,538",          60,   1.3,           1,           1,           0,           0,           1,           1,           0,           1,           1,           2,           1,          51
Holyoke Community Charter (District),04530000,         645,           1,   0.2,           0,           1,           0,           0,           0,           0,           0,           0,,,,
Hoosac Valley Regional,06030000,         932,          18,   1.9,           0,           0,           0,           0,           0,           0,           0,           0,           9,           5,           1,           3
Hopedale,01380000,         938,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Hopkinton,01390000,"       3,580",           2,   0.1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0,           1
Hudson,01410000,"       2,224",          27,   1.2,           2,           5,           1,           1,           0,           0,           0,           0,           9,           4,           4,           1
Hull,01420000,         728,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
Innovation Academy Charter (District),04350000,         790,          20,   2.5,,,,,           0,           0,           0,           1,          10,           5,           0,           4
Ipswich,01440000,"       1,477",           6,   0.4,           0,           0,           0,           0,           0,           0,           0,           0,           3,           1,           0,           2
KIPP Academy Boston Charter School (District),04630000,         548,           2,   0.4,           1,           0,           1,           0,           0,           0,           0,           0,,,,
KIPP Academy Lynn Charter (District),04290000,"       1,490",           6,   0.4,           0,           0,           1,           1,           0,           0,           0,           0,           2,           2,           0,           0
King Philip,06900000,"       1,940",           5,   0.3,,,,,,,           1,           1,           0,           1,           2,           0
Kingston,01450000,         901,           1,   0.1,           0,           0,           0,           1,           0,           0,,,,,,
Lawrence,01490000,"      11,751",         130,   1.1,           1,           0,           0,           3,           0,           0,           0,           0,          33,          37,          14,          42
Lawrence Family Development Charter (District),04540000,         642,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Learning First Charter Public School (District),04860000,         594,           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,,,,
Lee,01500000,         626,           4,   0.6,           0,           0,           0,           0,           0,           1,           0,           1,           1,           1,           0,           0
Leicester,01510000,"       1,261",          10,   0.8,           0,           0,           0,           1,           1,           0,           0,           0,           5,           3,           0,           0
Lenox,01520000,         691,           4,   0.6,           0,           0,           0,           1,           0,           1,           0,           2,           0,           0,           0,           0
Leominster,01530000,"       5,439",          31,   0.6,           1,           2,           0,           0,           0,           0,           0,           0,           1,           2,           3,          22
Leverett,01540000,         101,           0,   0.0,           0,           0,           0,           0,           0,           0,,,,,,
Lexington,01550000,"       6,535",           7,   0.1,           0,           0,           0,           2,           0,           0,           0,           0,           0,           1,           0,           4
Libertas Academy Charter School (District),35140000,         260,           6,   2.3,,,,,,           5,           1,           0,,,,
Lincoln,01570000,         882,           1,   0.1,           0,           1,           0,           0,           0,           0,           0,           0,,,,
Lincoln-Sudbury,06950000,"       1,519",           7,   0.5,,,,,,,,,           0,           4,           2,           1
Littleton,01580000,"       1,421",          13,   0.9,          11,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           2
Longmeadow,01590000,"       2,544",           6,   0.2,           0,           1,           0,           0,           0,           1,           1,           0,           0,           0,           0,           3
Lowell,01600000,"      12,529",         166,   1.3,           7,           8,           2,           5,           2,           2,           0,           1,          68,          18,          15,          38
Lowell Community Charter Public (District),04560000,         668,           5,   0.7,           2,           2,           0,           1,           0,           0,           0,           0,,,,
Lowell Middlesex Academy Charter (District),04580000,          88,          59,  67.0,,,,,,,,,          17,          15,          17,          10
Ludlow,01610000,"       2,201",          26,   1.2,           1,           2,           0,           0,           0,           0,           0,           2,          13,           7,           1,           0
Lunenburg,01620000,"       1,450",           3,   0.2,           0,           1,           0,           0,           0,           0,           1,           1,           0,           0,           0,           0
Lynn,01630000,"      14,277",          41,   0.3,          10,           5,           2,           0,           0,           1,           2,           0,           4,           9,           5,           3
Lynnfield,01640000,"       1,970",           0,   0.0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
MATCH Charter Public School (District),04690000,"       1,070",           1,   0.1,           0,           0,           0,           0,           0,           0,           1,           0,           0,           0,           0,           0
Ma Academy for Math and Science,04680000,          98,           1,   1.0,,,,,,,,,,,           1,           0
Malden,01650000,"       5,479",          28,   0.5,           0,           1,           1,           0,           0,           1,           0,           0,          13,           8,           3,           1
