District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Abby Kelley Foster Charter Public (District),4450000,6,2,6,166.2,0,0,2,143.2,39,182.2
Abington,10000,3,1,6.4,257.7,0,0,1,225.1,44,269.1
Academy Of the Pacific Rim Charter Public (District),4120000,22,7.2,10,49.3,0,0,2,65.4,25,90.4
Acton-Boxborough,6000000,4,29.5,9.5,743.1,1,0,1,678,110.1,788.1
Acushnet,30000,1,0,0,119.3,0,0,0,101.5,18.8,120.3
Advanced Math and Science Academy Charter (District),4300000,0,4.6,2,114.7,0,0,2,75.3,48,123.3
Agawam,50000,5,1,7,627,0,0,1,529.1,111.9,641
Alma del Mar Charter School (District),4090000,11.8,1,15,96.5,0,0,0,95.3,29,124.3
Amesbury,70000,0,0,1,243.3,0,0,1,197.9,47.4,245.3
Amherst,80000,16.8,10.2,40.7,192.2,0,0,7.5,220,46.9,267.3
Amherst-Pelham,6050000,34.4,3.7,34,183.6,0,0,5.5,173.5,87.2,261.3
Andover,90000,3,31.9,24.6,859.7,1,1,3,784.5,139.7,924.2
Argosy Collegiate Charter School (District),35090000,4.9,1.8,4.5,53.7,0,0,1,48.6,17.3,66
Arlington,100000,20.3,25.1,22.9,765.5,0,1,10.1,671.7,172.2,844.9
Ashburnham-Westminster,6100000,4,0,2,296.6,0,0,2,234.8,69.9,304.6
Ashland,140000,2,5,3,372.9,0,0,1,306.9,77,383.9
Assabet Valley Regional Vocational Technical,8010000,1,0,6,144.5,0,0,0,78,73.5,151.5
Athol-Royalston,6150000,3,0,1.4,212.2,0,0,0,177.6,39,216.6
Atlantis Charter (District),4910000,3,2,0,176.8,2,0,2,153.5,32.3,185.8
Attleboro,160000,7.6,3,21.4,660.2,1,0,6.4,580.6,117,699.6
Auburn,170000,2,2.4,10.5,319.5,0,0,1,284.7,50.7,335.4
Avon,180000,5,2,2,92.6,0,0,0,82.6,19,101.6
Ayer Shirley School District,6160000,3,3.5,6,241.2,0,0,1,206.5,48.1,254.7
Barnstable,200000,11,7.5,13,740.5,0.6,0,3,645.3,130.2,775.6
Baystate Academy Charter Public School (District),35020000,12,0,10.9,38.2,0,0,0,38.9,22.2,61.1
Bedford,230000,13,12.7,8,401.3,1,0,2,344.2,93.8,438
Belchertown,240000,0,0,4,305.7,0,0,0,256.1,53.6,309.7
Bellingham,250000,2,3,2,333.3,0,0,0,276.5,63.7,340.3
Belmont,260000,7.8,15,9,452.4,0,0,13.4,395.7,101.9,497.6
Benjamin Banneker Charter Public (District),4200000,23.1,2,3,27,0,0,0,46.3,8.8,55.1
Benjamin Franklin Classical Charter Public (District),4470000,1,1,1,104.1,0,0,0,95.1,12,107.1
Berkley,270000,0,0,1,112.8,0,0,0,99.8,14,113.8
Berkshire Arts and Technology Charter Public (District),4140000,0,0,1,59.7,0,0,1,45.5,16.2,61.7
Berkshire Hills,6180000,2,2,2,209.4,0,0,1,160.6,55.8,216.4
Berlin-Boylston,6200000,0,0,0,152.1,0,0,2,127.3,26.8,154.1
Beverly,300000,4,3,6.8,622,0,0,0,527.8,108,635.8
Billerica,310000,4,5.6,4,691.2,0,0,1,591.7,114.1,705.8
Blackstone Valley Regional Vocational Technical,8050000,0,0,3,167.6,0,0,0,98.9,71.7,170.6
Blackstone-Millville,6220000,0,1,6,198.4,0,0,0,168.9,36.5,205.4
Blue Hills Regional Vocational Technical,8060000,3,3,2,108.1,0,0,1,61.4,55.7,117.1
Boston,350000,"2,459.50",439.2,"1,121.60","4,498.30",17,9,18.5,"6,479.30","2,077.90","8,563.20"
Boston Collegiate Charter (District),4490000,18.3,6,19.9,67.1,0,0,6,79.8,37.5,117.3
Boston Day and Evening Academy Charter (District),4240000,16.6,4,9,21,1,0,2,36.6,17,53.6
Boston Green Academy Horace Mann Charter School (District),4110000,22.1,4.1,10.9,36.1,0,0,0,50.7,22.5,73.2
Boston Preparatory Charter Public (District),4160000,22.4,4.2,8,62.9,0,0,2.1,65.6,34,99.6
Boston Renaissance Charter Public (District),4810000,31,7,7,113,0,0,1,129,30,159
Bourne,360000,0,2,0,245.8,0,0,4.7,213.9,38.6,252.5
Boxford,380000,0,0,5,118.6,0,0,0,115.1,8.6,123.6
Braintree,400000,8,6.6,3,731.4,0,1.6,2,617.6,135,752.7
Brewster,410000,0,0,1,91.4,0,0,0,90,2.4,92.4
Bridge Boston Charter School (District),4170000,16.6,1,3.5,46.5,0,0,1,49.9,17.8,68.6
Bridgewater-Raynham,6250000,6,0,3,513.3,0,0,2,432.1,92.1,524.3
Brimfield,430000,0,1,0,43.1,0,0,0,40.7,3.4,44.1
Bristol County Agricultural,9100000,0,0,2,53.2,0,0,0,32.2,23,55.2
Bristol-Plymouth Regional Vocational Technical,8100000,3,0,2,146.1,2,0,0,96.6,56.5,153.1
Brockton,440000,307.4,25,79.2,"1,499.50",5.3,3,31.7,"1,576.00",375.2,"1,951.20"
Brooke Charter School (District),4280000,67,4,51,163,0,2,8,228,67,295
Brookfield,450000,0,0,0,42.4,0,0,0,39.6,2.8,42.4
Brookline,460000,102.1,73.3,60,"1,097.10",0,2,13.8,"1,061.40",285.8,"1,348.20"
Burlington,480000,1,12,6,536.1,0,0,1.6,470.4,85.3,556.7
Cambridge,490000,232.4,89.5,117.5,"1,073.10",2.5,2,3,"1,213.10",306.9,"1,520.00"
Canton,500000,11,4,10,407.7,0,1,8,364.7,77,441.7
Cape Cod Lighthouse Charter (District),4320000,0,0,0.5,41,0,0,0,34.8,6.7,41.5
Cape Cod Regional Vocational Technical,8150000,1,0,1,100.8,0,0,0,57.6,45.2,102.8
Carlisle,510000,1,3.8,1,105.7,0,0,0,91.7,19.8,111.5
Carver,520000,3.5,1,2,202.1,1,1,1,167.8,43.8,211.6
Central Berkshire,6350000,1,0,0,225.3,0,0,2,182.2,46.1,228.3
Chelmsford,560000,6,21,7,703.3,0,1,2,618.7,120.6,740.3
Chelsea,570000,10.4,0,176.9,541.4,0,2,19.3,612.3,137.7,750
Chesterfield-Goshen,6320000,0,0,0,24.6,0,0,0,22,2.6,24.6
Chicopee,610000,17.4,6,53,"1,045.50",1,1,5,922.6,206.3,"1,128.90"
Christa McAuliffe Charter Public (District),4180000,1,1,4,61.3,1,0,0,43.3,25,68.3
City on a Hill Charter Public School Circuit Street (District),4370000,13,1.6,4,26.8,0,0,0,33.1,12.3,45.4
Clarksburg,630000,0,0,0,28.5,0,0,0,25,3.5,28.5
Clinton,640000,1,1,10,243,0,0,4,212.4,46.6,259
Codman Academy Charter Public (District),4380000,33.8,3,5,36.3,0,0.5,2,59.6,21,80.6
Cohasset,650000,4,1.5,2,209.9,0,0,0,171.7,45.7,217.4
Collegiate Charter School of Lowell (District),35030000,5,3,12,71,0,0,0,73,18,91
Community Charter School of Cambridge (District),4360000,12.5,6,14,34.6,0,0,0.5,46.5,21,67.5
Community Day Charter Public School - Gateway (District),4260000,1,1,12.3,54.7,0,0,0,60.6,8.5,69.1
Community Day Charter Public School - Prospect (District),4400000,1,1,21,42.3,0,0,1,52.6,13.7,66.3
Community Day Charter Public School - R. Kingman Webster (District),4310000,2,0,12,43.6,0,0,1,45.2,13.5,58.6
Concord,670000,8.6,12.1,10.4,329.5,0,1,0,305.8,55.8,361.6
Concord-Carlisle,6400000,5.4,4,7.2,175.9,0,0,0,113.5,78.9,192.4
Conservatory Lab Charter (District),4390000,19,0,7,39.8,0,0,1,50.5,16.3,66.8
Conway,680000,0,0,0,39.7,0,0,0,35.4,4.3,39.7
Danvers,710000,0,1,5.6,459.9,0,0,3,378.6,91,469.5
Dartmouth,720000,2,0,2.3,436.4,0,0,3,355.8,87.9,443.8
Dedham,730000,5,5,4.6,434,0,0,0,367.7,80.9,448.6
Deerfield,740000,0,0,0,81.6,0,0,0,74,7.6,81.6
Dennis-Yarmouth,6450000,7.2,0,9.9,466.7,0.4,0,4,404.6,83.6,488.2
Dighton-Rehoboth,6500000,1,0,3,340.3,0,0,4,284,64.3,348.3
Douglas,770000,0,1,0,191.6,0,0,0,160.6,32,192.6
Dover,780000,0.3,0,3,77.3,0,0,0,71.4,9.1,80.5
Dover-Sherborn,6550000,4.5,2.7,6.9,157.2,0,1,0,126.2,46.1,172.3
Dracut,790000,3,2.5,4,388.3,0,0,0,336.4,61.4,397.8
Dudley Street Neighborhood Charter School (District),4070000,9.3,0,3.5,5.4,0,0,0,13.7,4.5,18.2
Dudley-Charlton Reg,6580000,0,0,6,431.5,1.8,0,2,348.8,92.4,441.2
Duxbury,820000,0,3.9,2,349.8,0,0,0,288.2,67.4,355.7
East Bridgewater,830000,0.5,1,0,273.4,0,0,0,223.9,51,274.9
East Longmeadow,870000,8,2,13.6,353.1,0,0,2,300,78.7,378.7
Eastham,850000,0,0,0,38.9,0,0,0,36.3,2.5,38.9
Easthampton,860000,2,0,4.3,214.4,0,0,0,179.9,40.8,220.7
Easton,880000,3,3,9,425.7,0,0,3.5,359.2,85,444.1
Edgartown,890000,2.4,0.2,1.7,83.2,0,0,0,73.6,13.9,87.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,25.3,2.1,6.3,21.7,0,0,0,33.8,21.6,55.4
Erving,910000,0,0,0,42.7,0,0,3,41.4,4.3,45.7
Essex North Shore Agricultural and Technical School District,8170000,0,2,3,187.8,0,0,0,110.8,82,192.8
Everett,930000,15,21,31.2,702.4,1,2,3,607.5,168.1,775.6
Excel Academy Charter (District),4100000,17.9,5,53.8,140.8,0,0,5.9,173.7,49.7,223.4
Fairhaven,940000,2.5,1,0,236.7,0,0,1,193.6,47.6,241.2
Fall River,950000,38.5,13.6,44.4,"1,358.30",1,1,19.8,"1,185.20",291.3,"1,476.50"
Falmouth,960000,13,3,11,511.4,2,0,8,459.6,88.9,548.5
Farmington River Reg,6620000,0,0,0,27.8,0,0,0,21.2,6.6,27.8
Fitchburg,970000,11.5,7,60.5,584.5,0,0,4,544.2,123.4,667.6
Florida,980000,0,0,0,25.2,0,0,0,19.9,5.3,25.2
Four Rivers Charter Public (District),4130000,1,0,2,32.9,0,0,0,25.3,10.5,35.9
Foxborough,990000,4,4,1,358,0,0,0,293.9,73.1,367
Foxborough Regional Charter (District),4460000,13.3,0,15.8,186.3,0,0,0,169.1,46.3,215.3
Framingham,1000000,35.4,19.5,206.8,"1,088.10",1,0,0,"1,122.80",228,"1,350.80"
Francis W. Parker Charter Essential (District),4780000,2,0,3,63.1,0,0,0,48.6,19.6,68.1
Franklin,1010000,3,7,2,688.6,0,0,0,582.8,117.8,700.6
Franklin County Regional Vocational Technical,8180000,0,0,0,78,1,0,2,31.5,49.5,81
Freetown-Lakeville,6650000,2,0,4,333.2,0,0,1,276.1,64.1,340.2
Frontier,6700000,1,0,0,96,2,0,0,64,35,99
Gardner,1030000,1,4,8,306.3,0,0,3.5,246.3,76.5,322.8
Gateway,6720000,0,0,0,142.8,0,0,2,117.7,27.1,144.8
Georgetown,1050000,0,0,1,171.2,0,0.9,1,142.1,32,174.1
Gill-Montague,6740000,0,2,5,158.9,0,0,1,137.7,29.2,166.9
Global Learning Charter Public (District),4960000,5,0.8,6,61.8,0,1,1,53.9,21.7,75.6
Gloucester,1070000,2,1,5,488.7,1,0,0,407.7,90,497.7
Gosnold,1090000,0,0,0,1.4,0,0,0,1.4,0,1.4
Grafton,1100000,5.8,7,4,448.3,0.8,0,3.8,390.4,79.3,469.7
Granby,1110000,1,2,1,131.8,0,0,1,106.5,30.4,136.8
Greater Fall River Regional Vocational Technical,8210000,2.5,0,1,174.4,0,0,0,87.9,90,177.9
Greater Lawrence Regional Vocational Technical,8230000,0.7,1.8,26.2,157.8,0,0,0.7,113.6,73.5,187.2
Greater Lowell Regional Vocational Technical,8280000,5,6.7,11,271.4,1,0,0,186.1,109,295.1
Greater New Bedford Regional Vocational Technical,8250000,4.3,1,5,240.3,2,0,0,139,113.6,252.6
Greenfield,1140000,1,2,8,272.8,0,0,3,228.5,58.3,286.8
Greenfield Commonwealth Virtual District,39010000,1,1,1,81.5,0,0,0,60.3,24.2,84.5
Groton-Dunstable,6730000,0,1,1,333.1,1,0,1,277.7,59.4,337.1
Hadley,1170000,2,1,3,83.5,0,0,0,69.5,20,89.5
Halifax,1180000,0,0,0,68.5,0,0,0,58.8,9.7,68.5
Hamilton-Wenham,6750000,0,3.8,3.7,248,0,0,2,211,46.6,257.6
Hampden Charter School of Science East (District),4990000,2,2.5,3,58,0,0,0,36.5,29,65.5
Hampden Charter School of Science West (District),35160000,4,1,2,42,0,0,0,28.5,20.5,49
Hampden-Wilbraham,6800000,2.5,0,7.8,390.6,0,0,3,337.9,66,403.9
Hampshire,6830000,1,1,0,111.9,0,0,0,82.7,31.1,113.9
Hancock,1210000,0,0,0,15.7,0,0,0,13.7,2,15.7
Hanover,1220000,2,1,2,336,1,0,0,280.1,61.9,342
Harvard,1250000,1,2.5,3.5,142.7,0,1,0,120.7,30,150.7
Hatfield,1270000,0,0,1,65.9,0,0,0,51.4,15.5,66.9
Haverhill,1280000,6,10,76.6,"1,014.20",2,0,2,913.6,197.2,"1,110.80"
Hawlemont,6850000,0,0,0,25.8,0,0,0,23.4,2.4,25.8
Helen Y. Davis Leadership Academy Charter Public (District),4190000,20.5,1,5,3,0,0,2,21.5,10,31.5
Hill View Montessori Charter Public (District),4550000,1,0,1,34,0,0,1,32,5,37
Hilltown Cooperative Charter Public (District),4500000,0.9,0,0.4,41.4,0,0,0,36.3,6.4,42.7
Hingham,1310000,4,3.3,5,518.2,1,0,3,442.2,92.2,534.5
Holbrook,1330000,3,2,2,144.8,0,0,1,127,25.8,152.8
Holland,1350000,0,1,0,28.8,0,0,0,27.3,2.5,29.8
Holliston,1360000,4,4,5.5,400.5,1,0,2,342.8,74.3,417
Holyoke,1370000,55.5,9.2,301.1,561,3,0,1,719.9,209.8,930.8
Holyoke Community Charter (District),4530000,5,0,37,55,0,0,0,70,27,97
Hoosac Valley Regional,6030000,3,0,0,201,0,1,0,166,39,205
Hopedale,1380000,0,0,3,181.1,0,0,1,155.3,29.8,185.1
Hopkinton,1390000,4.9,15.2,7.9,472.1,0,0,0,402.3,97.8,500.1
Hudson,1410000,1,4,8,431.1,0,0,0,376.5,67.6,444.1
Hull,1420000,0,0,0.1,139.8,0,0,0,111.7,28.2,139.9
Innovation Academy Charter (District),4350000,1.8,3.6,5.5,97.4,0,0,1,80.7,28.7,109.3
Ipswich,1440000,0,0,6,285.6,0,1,0,246.7,45.9,292.6
KIPP Academy Boston Charter School (District),4630000,35.2,1,16.5,36.7,1,0,3,70.7,22.3,93.4
KIPP Academy Lynn Charter (District),4290000,57.1,13.6,27.5,104.4,0,0,5.5,150,56.6,208.1
King Philip,6900000,2,3,3.9,233.8,0,0,0,176,66.7,242.7
Kingston,1450000,0,0,0,135.6,0,0,0,119.5,16.1,135.6
Lawrence,1490000,24,2,472.9,"1,349.60",20.5,0,5,"1,461.70",411.3,"1,874.00"
Lawrence Family Development Charter (District),4540000,1,6,25,67.5,0,0,0,85.5,14,99.5
Learning First Charter Public School (District),4860000,6,1,11,62.5,0,0,0,67.5,13,80.5
Lee,1500000,0,2,2,128,0,0,0,110,22,132
Leicester,1510000,0,3,7.3,194.6,0,0,0,172.3,32.6,204.9
Lenox,1520000,0,0,2,139.6,0,0,0,112.4,29.2,141.6
Leominster,1530000,12.5,6,29.8,647.1,0,0,0,568.9,126.5,695.4
Leverett,1540000,1,0,0,26,0,0,0,23.8,3.1,27
Lexington,1550000,35.2,68,37.5,989.5,0.9,0.5,12.4,928.6,215.4,"1,144.00"
Libertas Academy Charter School (District),35140000,6,0,11,26.2,0,0,3,31.2,15,46.2
Lincoln,1570000,7,5.8,3.7,214.2,1,0,1,203.7,28.9,232.6
Lincoln-Sudbury,6950000,6.9,3.5,4.8,205.5,1,0,1,138.1,84.6,222.7
Littleton,1580000,0.8,1.8,1.8,201.5,0,0,3,175,33.8,208.8
Longmeadow,1590000,2,3,6,399.6,0,0,1,338.9,72.7,411.6
Lowell,1600000,39,86,129.5,"1,664.40",2,0.5,9,"1,557.00",373.4,"1,930.40"
Lowell Community Charter Public (District),4560000,4,10,13,68,0,0,1,72,24,96
Lowell Middlesex Academy Charter (District),4580000,0,1,2,12.5,0,0,0,11,4.5,15.5
Ludlow,1610000,4,1,5,394.8,0,0,0,337.8,66,404.8
Lunenburg,1620000,0,0,0,224,0,1,0,182.4,42.6,225
Lynn,1630000,50.1,22,167.1,"1,622.60",2,1,17,"1,476.40",403.3,"1,881.70"
