District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Lynnfield,1640000,1,4,3,304.2,0,0,1,264.4,48.8,313.2
MATCH Charter Public School (District),4690000,68.8,13.7,35.1,142,1,0,7.5,194.6,73.5,268.1
Ma Academy for Math and Science,4680000,0,0,0,8,0,0,1,5,4,9
Malden,1650000,41,30.8,20,704.3,0,0,9,666.6,138.4,805
Manchester Essex Regional,6980000,0,1.6,3,196,0,0,0,155.1,45.5,200.6
Mansfield,1670000,3.6,4,9.3,489.1,0,0,2,413.8,93.2,508
Map Academy Charter School (District),35170000,2,0,1,26.8,0,0,0,17.9,11.9,29.8
Marblehead,1680000,2,4,7.8,445.6,0,1,5.9,375.3,91,466.3
Marblehead Community Charter Public (District),4640000,0,0,0,34.8,0,0,1,26.8,9,35.8
Marion,1690000,1.3,1,0,62.9,0,0,0,58.8,6.3,65.1
Marlborough,1700000,7,7.8,37,679.3,2,0,1,595,139.1,734.1
Marshfield,1710000,3,2,7,578.8,3,0,0,500.2,93.6,593.8
Martha's Vineyard,7000000,2.1,1.7,2.2,113.1,1,0,3,83.2,39.9,123.1
Martha's Vineyard Charter (District),4660000,1,0,0,39.3,0,0,1,33.8,7.5,41.3
Martin Luther King Jr. Charter School of Excellence (District),4920000,13.5,0,11.5,33.6,0,0,1,48.6,11,59.6
Masconomet,7050000,2,3.4,1,226.8,0,0,1,152.6,81.6,234.2
Mashpee,1720000,3,1,1,228.2,1,0.8,0,195.2,39.8,235
Mattapoisett,1730000,0.3,1,0,76.4,0,0,0,70.1,7.5,77.6
Maynard,1740000,1,4,11,202.4,0,0,1,174.9,44.5,219.4
Medfield,1750000,1,3.7,6,367.6,0,0,1.8,315.5,64.6,380.1
Medford,1760000,8,9,4,613.8,0,0,1,499.1,136.7,635.8
Medway,1770000,2,3.8,2,299.6,1,0,0,244.5,63.9,308.4
Melrose,1780000,1,7.1,7.4,461.5,0,0,2.6,389.9,89.7,479.6
Mendon-Upton,7100000,0,0,12.4,291.9,0,0,1,254.4,50.9,305.3
Methuen,1810000,3,0,22.2,763.3,1,0,0,643.3,146.2,789.5
Middleborough,1820000,2,1,0,356.9,1,0,1,282.7,79.2,361.9
Middleton,1840000,0,0,0,137.9,0,0,0,127.2,10.6,137.9
Milford,1850000,5,2,33.3,567.9,1,0,1,503,107.2,610.2
Millbury,1860000,3,3.8,1,244.5,0,0,1,191.3,62.1,253.3
Millis,1870000,0,2,3.5,169.5,0,0,0,143,32,175
Milton,1890000,35.4,7.4,11,457.7,1,1,0,417.8,95.7,513.5
Minuteman Regional Vocational Technical,8300000,0,1,2,108.1,0,0.5,1,60.1,52.5,112.6
Mohawk Trail,7170000,0,0,1,186.1,1,0,1,168,21.1,189.1
Monomoy Regional School District,7120000,2,2.8,2,291.4,0,0,1,241.5,57.7,299.2
Monson,1910000,0,0,1.5,149.2,0,1,0,121.2,30.5,151.7
Montachusett Regional Vocational Technical,8320000,1,0,8,171.9,2,0,0,104.8,78.1,182.9
Mount Greylock,7150000,1,3,2,199.9,0,0,0,151.3,54.6,205.9
Mystic Valley Regional Charter (District),4700000,6,4,4,161.7,0,0,2,129.7,48,177.7
Nahant,1960000,0,0,0,24.2,0,0,0,22.6,1.6,24.2
Nantucket,1970000,4,2,12.6,257.3,1,0,3,230.9,49,279.9
Narragansett,7200000,1,0,1,184.5,0,0,0,148.5,38,186.5
Nashoba,7250000,1,5,1,459.6,0,0,1,375.8,91.8,467.6
Nashoba Valley Regional Vocational Technical,8520000,1,1,1,93.4,0,0,0,52.4,44,96.4
Natick,1980000,5.5,13.6,5,750.2,1,0,4.2,622.5,156.9,779.4
Nauset,6600000,1,1,6,211.4,0,0,0,164.1,55.3,219.4
Needham,1990000,21.8,20.6,22.7,791.5,0,0,8,683.5,180.2,864.7
Neighborhood House Charter (District),4440000,31,10,15.5,69.1,1,0,4,99.1,31.6,130.7
New Bedford,2010000,124,9,124.8,"1,543.40",6,1,19.5,"1,463.70",363.9,"1,827.60"
New Heights Charter School of Brockton (District),35130000,20,1,1,54.2,0,0,1,48.7,28.5,77.2
New Salem-Wendell,7280000,1,0,1,26.8,0,0,2,28.3,2.6,30.8
Newburyport,2040000,3,2,3,329,0,1,0,270.9,66.2,338
Newton,2070000,92.7,94.1,65.5,"1,766.00",0.9,0,27.4,"1,605.70",439.8,"2,046.50"
Norfolk,2080000,0,0,0,156.4,0,0,0,144.7,11.7,156.4
Norfolk County Agricultural,9150000,0,0,0,81.9,0,0,0,49.8,32.1,81.9
North Adams,2090000,1,1,2,268.6,0,0,1,218.3,55.3,273.6
North Andover,2110000,1,6,1,599.2,0,0,0,503.5,103.7,607.2
North Attleborough,2120000,3.8,5.8,3,512.8,0,0,2,446,81.4,527.4
North Brookfield,2150000,0,1,2.4,81.7,0,0,0,68.3,16.8,85.1
North Middlesex,7350000,1,0.8,3,407.3,0,1,1,339.3,74.8,414.1
North Reading,2170000,0,1,3,326.9,0,0,0,257.6,73.3,330.9
Northampton,2100000,7.8,1,24.6,424.6,0,0,5.3,369.7,93.5,463.3
Northampton-Smith Vocational Agricultural,4060000,1,0,3,110.9,0,0,1,62,53.9,115.9
Northboro-Southboro,7300000,1.3,1,2,188.3,0,1,0,146.3,47.3,193.6
Northborough,2130000,0.4,2,3,265.1,0,1,1,244.5,28,272.5
Northbridge,2140000,1,0,1,294.6,0,1,1,234.6,64,298.6
Northeast Metropolitan Regional Vocational Technical,8530000,4,2,6.6,158.2,0,0,0,86.5,84.3,170.8
Northern Berkshire Regional Vocational Technical,8510000,0,0,0,66.5,0,0,0,38.5,28,66.5
Norton,2180000,2,0,4,320.9,0,0,0,270.2,56.6,326.8
Norwell,2190000,1,2,2,277.5,0,0,0,221.8,60.7,282.5
Norwood,2200000,7,2,8,499.6,1,0,0,411.6,106,517.6
Oak Bluffs,2210000,0.4,0,0.8,84.6,0,0,3,81.1,7.6,88.8
Old Colony Regional Vocational Technical,8550000,0,1,0,86,0,0,3,50,40,90
Old Rochester,7400000,3.3,2,1,147.8,0,0,0,105,49.1,154.1
Old Sturbridge Academy Charter Public School (District),35150000,0,0,2,29.6,0,0,0,24.6,7,31.6
Orange,2230000,0,0,1,83,0,0,0,75,9,84
Orleans,2240000,0,0,0,43.2,0,0,0,38.3,4.9,43.2
Oxford,2260000,1,1,1,202.2,0,0,1,168.3,38,206.2
Palmer,2270000,0,1,3,198.2,0,1,2,169.7,35.5,205.2
Pathfinder Regional Vocational Technical,8600000,0,0,0,105.5,0,0,0,53,52.5,105.5
Paulo Freire Social Justice Charter School (District),35010000,9,0,12.9,21,0,0,0,30.9,12,42.9
Peabody,2290000,1,1,9.5,717.6,0,0,1,597.4,132.7,730.1
Pelham,2300000,0.1,0.2,2.7,24,0,0,0,24.3,2.7,27.1
Pembroke,2310000,1,1,0,299.5,0,0,0,250.9,50.7,301.5
Pentucket,7450000,0,0,2,322,0,0,3.2,265,62.2,327.2
Petersham,2340000,0,0,0,25.5,0,0,0,22.4,3.1,25.5
Phoenix Academy Public Charter High School Lawrence (District),35180000,3,0,3.9,14,0,0,0,16.9,4,20.9
Phoenix Academy Public Charter High School Springfield (District),35080000,10.3,2,2.9,7,0,0,0,17.2,5,22.2
Phoenix Charter Academy (District),4930000,6.3,4,10.5,14,0,0,0,26.8,8,34.8
Pioneer Charter School of Science (District),4940000,4,2,3.3,88.2,0,0,0,62.1,35.3,97.4
Pioneer Charter School of Science II (PCSS-II) (District),35060000,4,8,5,33.8,0,0,0,27.4,23.4,50.8
Pioneer Valley,7500000,0,0,0,132.9,0,0,0,113,20,132.9
Pioneer Valley Chinese Immersion Charter (District),4970000,2,40.8,1,51.6,0,0,2,78.3,19.1,97.4
Pioneer Valley Performing Arts Charter Public (District),4790000,4,1,5,57.2,0,0,0,42.2,25,67.2
Pittsfield,2360000,22.8,8,21.8,805.8,1,0,12,692,179.4,871.4
Plainville,2380000,0,3,1,82.4,0,0,0,82.4,4,86.4
Plymouth,2390000,7.6,5,9.1,"1,035.50",1,2.6,1,866.6,195.1,"1,061.70"
Plympton,2400000,0,0,0,33.2,0,0,0,32,1.2,33.2
Prospect Hill Academy Charter (District),4870000,21.9,8.7,16.4,124.3,0,0,4,140.5,34.7,175.2
Provincetown,2420000,0,0,1,29.6,0,0,1,23.1,8.5,31.6
Quabbin,7530000,2,1.9,2,277.5,0,0,1,237.6,46.8,284.4
Quaboag Regional,7780000,0,1,0,182,0,0,0,141.4,41.6,183
Quincy,2430000,6,60,4,"1,097.80",0,0,15,970,212.8,"1,182.80"
Ralph C Mahar,7550000,0,1,2,88.5,0,0,0,65.3,26.2,91.5
Randolph,2440000,64.8,17.6,17.6,283.8,1,0,4,309.5,79.3,388.7
Reading,2460000,1.6,5.5,3.8,521.2,0,0,1,449.7,83.3,533
Revere,2480000,15,13,32.5,783.2,1,1,5.5,667.2,184,851.2
Richmond,2490000,2,0,0,32.4,0,0,0,31.1,3.3,34.4
Rising Tide Charter Public (District),4830000,2,2,3,84.4,0,0,0,63.8,27.6,91.4
River Valley Charter (District),4820000,0,0,0,50.5,0,0,2,41.8,10.7,52.5
Rochester,2500000,2.3,0,0,66.3,0,0,0,61,7.5,68.5
Rockland,2510000,1,0,5,303.1,0,0,1,265.4,44.8,310.1
Rockport,2520000,0,0,0,156,0,0,0,128.3,27.7,156
Rowe,2530000,0,0,1,13.9,0,0,0,11.7,3.2,14.9
Roxbury Preparatory Charter (District),4840000,26.3,4,13,86.6,0,0,9,79.7,58.1,138.8
Sabis International Charter (District),4410000,14,2,15,124,0,0,1,111,45,156
Salem,2580000,10.2,6.1,60.5,643.5,0,0,1,599.3,122,721.3
Salem Academy Charter (District),4850000,3,1,10,58.9,0,0,0,52.1,20.8,72.9
Sandwich,2610000,0,2,5,357.1,0,0,1,310.5,54.6,365.1
Saugus,2620000,1,0,6,320,0,1,1,268.4,60.5,329
Savoy,2630000,0,0,0,16.5,0,0,0,14,2.5,16.5
Scituate,2640000,2,2,0,407.8,0,0.6,1,345,68.4,413.4
Seekonk,2650000,3,1,0,292.1,0,0,3,245.1,54,299.1
Sharon,2660000,7,16.2,3,425.6,1,1,1,377.3,77.4,454.7
Shawsheen Valley Regional Vocational Technical,8710000,0,2,3,182.5,0,0,0,110.5,77,187.5
Sherborn,2690000,1.1,0,1,64.1,0,0,1,64.2,3.1,67.2
Shrewsbury,2710000,8.5,28,10.8,781.3,1,0,6,716.7,117.9,835.6
Shutesbury,2720000,0,1,1,30.4,0,0,1,31,2.5,33.4
Silver Lake,7600000,2,1,0,217.2,0,0,0,156.2,64.1,220.2
Sizer School: A North Central Charter Essential (District),4740000,1,1,3.9,56.6,0,0,0,49.6,12.9,62.5
Somerset,2730000,1,0,0,228.4,0,0,0,205,24.4,229.4
Somerset Berkley Regional School District,7630000,0,1,3,117.1,0,0,0,80,41.1,121.1
Somerville,2740000,35.8,14.5,84.1,634.3,1,0,9.5,625.6,153.7,779.3
South Hadley,2780000,0.4,2,2,262.5,0,0,0,209.3,57.6,266.9
South Middlesex Regional Vocational Technical,8290000,2,1,15,116.3,0,0,0,76.3,58,134.3
South Shore Charter Public (District),4880000,9.9,2,1,140.1,0,0,1,111.3,42.7,154
South Shore Regional Vocational Technical,8730000,0,0,1,96.5,0,0,0,49.2,48.3,97.5
Southampton,2750000,0,0,0,67.9,0,0,2,61.6,8.3,69.9
Southborough,2760000,0.3,4,5,211.6,1,0,0,199.6,22.3,221.9
Southbridge,2770000,7.5,1,55.1,279.6,0,0,1,264,80.2,344.3
Southeastern Regional Vocational Technical,8720000,12.5,4,5,167.8,0,0,2,115,76.3,191.3
Southern Berkshire,7650000,2,2,3,134.9,1,0,1,111.3,32.6,143.9
Southern Worcester County Regional Vocational Technical,8760000,0,0,2,162,0,0,1,95,70,165
Southwick-Tolland-Granville Regional School District,7660000,0,0,5,222.5,0,0,2,193.5,36,229.5
Spencer-E Brookfield,7670000,0,0,4,194.2,0,0,0,155.2,42.9,198.2
Springfield,2810000,585.2,40.5,611.9,"2,575.30",0,3,22.5,"3,013.70",824.7,"3,838.40"
Springfield Preparatory Charter School (District),35100000,6,1,10,33.4,0,1,0,45.4,5,51.4
Stoneham,2840000,1,3,1,362.9,0,0,1,295.9,73,368.9
Stoughton,2850000,8.1,3.9,4.9,452.7,1,2,2.1,394.9,79.7,474.6
Sturbridge,2870000,0,0,1,128.9,0,0,0,121.7,8.2,129.9
Sturgis Charter Public (District),4890000,1,1,5.5,140.7,0,0,0,103.1,45.1,148.2
Sudbury,2880000,6,4,11.9,375,0,0,5.6,340.4,62.1,402.5
Sunderland,2890000,0,3,1,58.5,0,0,0,51.5,11,62.5
Sutton,2900000,2,0,0,201.6,0,0,0,163.4,40.3,203.6
Swampscott,2910000,4,1,7,306.3,0,0,3,267.1,54.2,321.3
Swansea,2920000,1,1,1.1,246.5,0,0,0,183.5,66.1,249.6
TEC Connections Academy Commonwealth Virtual School District,39020000,2,7,5,137.6,0,0,0,111.7,39.9,151.6
Tantasqua,7700000,1.4,0,2.8,211.3,0,0,1,149.4,66.2,216.5
Taunton,2930000,17,6,19.5,853.5,0,0,2,736.7,161.2,898
Tewksbury,2950000,2.5,9,12,464.5,0,0,0,404.5,82.5,488
Tisbury,2960000,1.3,0.2,3.4,70.4,0,0,1,65,11.3,76.3
Topsfield,2980000,0,0,1.8,105.9,0,0,0,99.9,7.8,107.7
Tri-County Regional Vocational Technical,8780000,0,1,0,138.2,0,0,0,84.4,54.8,139.2
Triton,7730000,2,2,0,365.2,0,0,0,290.9,78.3,369.2
Truro,3000000,0,0,1,31.8,0,0,0,29.4,3.4,32.8
Tyngsborough,3010000,0,1,3,210.2,0,0,0,165.7,48.5,214.2
UP Academy Charter School of Boston (District),4800000,15,0,4,34,0,0,0,37,16,53
UP Academy Charter School of Dorchester (District),35050000,19,0,6,47,0,0,0,57,15,72
Up-Island Regional,7740000,0.3,0,2.4,87.3,0,0,1,79.5,11.5,91
Upper Cape Cod Regional Vocational Technical,8790000,0,0,0,105.7,1,0,0,41.2,65.5,106.7
Uxbridge,3040000,0,1,0,239,0,0,0,200.6,39.4,240
Veritas Preparatory Charter School (District),4980000,14,1,6,35.5,0,0,1,45.5,12,57.5
Wachusett,7750000,3,1,4,862.7,0,1,0,721.6,150.2,871.7
Wakefield,3050000,1,3,3,449.9,1,0,1,365.5,93.4,458.9
Wales,3060000,0,0,0,22.5,0,0,1,21.1,2.5,23.5
Walpole,3070000,0,3.5,5.8,494,0,0,0.5,415.9,87.9,503.8
Waltham,3080000,18.2,17.6,59.3,775.6,0,2,6,701,177.7,878.7
Ware,3090000,1,0,6,165.7,0,0,0,138.7,34,172.7
Wareham,3100000,3.9,0,0,305.7,0,0,8.9,264.4,54.1,318.5
Watertown,3140000,4,3,39.5,399.1,0,0,3,342.3,106.3,448.6
Wayland,3150000,11,13,19.3,416.2,0,0,2,372.1,89.4,461.5
Webster,3160000,4,0,2,247.8,0,0,1,215.6,39.2,254.8
Wellesley,3170000,20.1,21.2,26.3,783.5,0,0,12.3,692.5,170.8,863.4
Wellfleet,3180000,0,0,0,29.4,0,0,0,26.9,2.5,29.4
West Boylston,3220000,1,0,2,139.4,0,0,0,115,27.4,142.4
West Bridgewater,3230000,0,0,1,153.6,0,0,2,128.8,27.8,156.6
West Springfield,3320000,5,3,12,588.7,0,1,0,495.4,114.3,609.7
Westborough,3210000,5,17.2,5,557.8,0,1,1.8,484.4,103.4,587.8
Westfield,3250000,9,5,8,700.9,2,0,1,587.1,138.8,726
Westford,3260000,2,15.8,6,617.1,0,0,1,538.3,103.6,641.9
Westhampton,3270000,0,0,0,26,0,0,0,22.7,3.3,26
Weston,3300000,7.7,16.4,12.3,340.1,0,0,1,283.7,93.8,377.5
Westport,3310000,0,0,0,222.1,0,0,0,185,37.1,222.1
Westwood,3350000,7,8.6,10,450.6,0,0,2.8,382.3,96.7,479
Weymouth,3360000,4,8,6,800,1,1,1,643.6,177.4,821
Whately,3370000,0,0,0,34.4,0,0,0,32.6,1.8,34.4
Whitman-Hanson,7800000,3.9,0.9,3.9,435.3,0,0,0,358,85.9,444
Whittier Regional Vocational Technical,8850000,0.8,0,1,135.3,0,0,0,73.8,63.3,137
Williamsburg,3400000,0,0,0,29.5,0,0,0,26.2,3.3,29.5
Wilmington,3420000,0.5,5,3,442.8,1,0,2,377.7,76.6,454.3
Winchendon,3430000,2,0,2,150,0,1,0,135,20,155
Winchester,3440000,4,3.8,4,566.4,0,0,0.9,474.8,103.5,579.1
Winthrop,3460000,0,4,1,256.2,0,0,0,206.4,54.7,261.2
Woburn,3470000,4.9,4.8,10,606.9,1,1,0,506.6,122,628.6
Worcester,3480000,151.8,56,381,"3,089.30",0,7,0,"2,956.20",728.8,"3,685.10"
Worthington,3490000,0,0,0,15.9,0,0,0,13.9,2,15.9
Wrentham,3500000,0,2,0.6,153.4,0,0,0,144.1,11.9,156
State Totals,0,"6,273.50","2,291.30","6,734.30","1,20,120.90",133.6,79.4,716.7,"1,08,536.10","27,782.90","1,36,349.70"