District Name,District Code,# Enrolled,# Retained,% Retained,1,2,3,4,5,6,7,8,9,10,11,12
Abby Kelley Foster Charter Public (District),4450000,"1,308",1,0.1,0,0,0,0,0,0,0,0,0,1,0,0
Abington,10000,"1,885",3,0.2,3,0,0,0,0,0,0,0,0,0,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,540,4,0.7,,,,,0,0,0,0,4,0,0,0
Acton-Boxborough,6000000,"4,844",7,0.1,0,3,0,0,0,0,0,0,1,0,0,3
Acushnet,30000,796,4,0.5,1,0,0,0,0,0,2,1,,,,
Advanced Math and Science Academy Charter (District),4300000,966,1,0.1,,,,,,0,0,0,0,1,0,0
Agawam,50000,"3,175",19,0.6,2,2,0,0,1,0,0,0,12,1,0,1
Alma del Mar Charter School (District),4090000,697,6,0.9,3,0,0,0,1,2,0,0,,,,
Amesbury,70000,"1,685",13,0.8,0,2,1,0,0,0,0,1,0,1,1,7
Amherst,80000,870,1,0.1,1,0,0,0,0,0,,,,,,
Amherst-Pelham,6050000,"1,275",16,1.3,,,,,,,0,0,2,6,4,4
Andover,90000,"5,179",16,0.3,1,0,0,1,0,0,2,0,6,3,0,3
Argosy Collegiate Charter School (District),35090000,571,2,0.4,,,,,,0,0,0,0,2,0,0
Arlington,100000,"5,237",9,0.2,0,2,1,0,0,0,0,0,0,0,0,6
Ashburnham-Westminster,6100000,"2,017",11,0.5,2,2,3,0,0,0,0,0,0,1,0,3
Ashland,140000,"2,488",2,0.1,1,0,1,0,0,0,0,0,0,0,0,0
Assabet Valley Regional Vocational Technical,8010000,"1,149",0,0,,,,,,,,,0,0,0,0
Athol-Royalston,6150000,"1,275",2,0.2,0,0,0,0,0,0,0,0,0,2,0,0
Atlantis Charter (District),4910000,"1,186",3,0.3,1,0,0,0,0,0,0,0,1,1,0,0
Attleboro,160000,"5,298",18,0.3,1,0,1,0,0,0,0,0,2,2,7,5
Auburn,170000,"2,286",4,0.2,1,0,0,0,0,1,0,0,0,0,0,2
Avon,180000,630,6,1,0,1,0,0,0,1,0,0,2,0,2,0
Ayer Shirley School District,6160000,"1,434",9,0.6,5,3,0,0,0,0,0,0,1,0,0,0
Barnstable,200000,"4,251",61,1.4,3,0,0,0,0,0,0,0,15,17,15,11
Baystate Academy Charter Public School (District),35020000,469,4,0.9,,,,,,1,1,0,1,0,0,1
Bedford,230000,"2,427",4,0.2,1,1,0,0,0,0,0,0,1,1,0,0
Belchertown,240000,"1,968",13,0.7,1,0,1,0,0,0,0,0,4,5,2,0
Bellingham,250000,"1,799",9,0.5,1,1,1,0,0,0,2,0,0,1,3,0
Belmont,260000,"4,119",1,0,0,0,0,0,0,0,0,0,0,0,1,0
Benjamin Banneker Charter Public (District),4200000,273,1,0.4,1,0,0,0,0,0,,,,,,
Benjamin Franklin Classical Charter Public (District),4470000,680,0,0,0,0,0,0,0,0,0,0,,,,
Berkley,270000,746,0,0,0,0,0,0,0,0,0,0,,,,
Berkshire Arts and Technology Charter Public (District),4140000,372,1,0.3,,,,,,0,0,0,0,1,0,0
Berkshire Hills,6180000,"1,080",9,0.8,0,0,0,0,0,0,0,0,0,0,5,4
Berlin-Boylston,6200000,939,2,0.2,0,1,0,0,0,0,1,0,0,0,0,0
Beverly,300000,"4,171",18,0.4,2,1,1,0,0,2,0,1,4,4,3,0
Billerica,310000,"4,082",20,0.5,4,1,0,1,0,0,0,1,8,3,2,0
Blackstone Valley Regional Vocational Technical,8050000,"1,231",1,0.1,,,,,,,,,0,0,0,1
Blackstone-Millville,6220000,"1,410",13,0.9,0,0,0,0,0,1,0,0,7,3,2,0
Blue Hills Regional Vocational Technical,8060000,890,1,0.1,,,,,,,,,1,0,0,0
Boston,350000,"41,960",451,1.1,34,22,10,5,8,3,4,11,83,43,80,148
Boston Collegiate Charter (District),4490000,723,12,1.7,,,,,1,0,3,0,2,3,1,2
Boston Day and Evening Academy Charter (District),4240000,356,186,52.2,,,,,,,,,50,9,0,127
Boston Green Academy Horace Mann Charter School (District),4110000,505,1,0.2,,,,,,0,0,0,0,0,0,1
Boston Preparatory Charter Public (District),4160000,671,5,0.7,,,,,,0,0,0,3,0,0,2
Boston Renaissance Charter Public (District),4810000,701,2,0.3,0,0,2,0,0,0,,,,,,
Bourne,360000,"1,519",8,0.5,2,0,1,0,0,0,0,0,2,0,2,1
Boxford,380000,574,1,0.2,1,0,0,0,0,0,,,,,,
Braintree,400000,"5,064",20,0.4,10,4,1,1,0,0,0,0,0,0,3,1
Brewster,410000,335,1,0.3,0,1,0,0,0,,,,,,,
Bridge Boston Charter School (District),4170000,267,3,1.1,2,0,0,1,0,0,0,0,,,,
Bridgewater-Raynham,6250000,"4,782",18,0.4,6,1,0,1,0,0,1,0,0,3,3,3
Brimfield,430000,228,1,0.4,0,0,0,0,0,1,,,,,,
Bristol County Agricultural,9100000,448,0,0,,,,,,,,,0,0,0,0
Bristol-Plymouth Regional Vocational Technical,8100000,"1,319",0,0,,,,,,,,,0,0,0,0
Brockton,440000,"13,965",187,1.3,19,4,2,3,3,3,3,2,86,32,16,14
Brooke Charter School (District),4280000,"1,868",70,3.7,10,9,7,3,2,4,7,10,8,7,3,0
Brookfield,450000,222,0,0,0,0,0,0,0,0,,,,,,
Brookline,460000,"6,232",6,0.1,1,0,0,0,1,0,0,0,0,0,0,4
Burlington,480000,"3,055",7,0.2,2,1,0,0,1,0,0,0,1,1,1,0
Cambridge,490000,"5,625",58,1,2,4,3,1,1,0,0,1,18,15,9,4
Canton,500000,"2,915",9,0.3,1,2,1,0,1,0,1,0,0,1,1,1
Cape Cod Lighthouse Charter (District),4320000,250,1,0.4,,,,,,1,0,0,,,,
Cape Cod Regional Vocational Technical,8150000,626,4,0.6,,,,,,,,,1,1,2,0
Carlisle,510000,517,1,0.2,0,1,0,0,0,0,0,0,,,,
Carver,520000,"1,343",3,0.2,3,0,0,0,0,0,0,0,0,0,0,0
Central Berkshire,6350000,"1,393",8,0.6,0,0,0,0,0,0,0,0,4,3,1,0
Chelmsford,560000,"4,400",14,0.3,1,0,1,0,0,1,2,0,3,0,3,3
Chelsea,570000,"5,393",135,2.5,4,1,2,0,0,0,0,0,48,36,29,15
Chesterfield-Goshen,6320000,90,0,0,0,0,0,0,0,0,,,,,,
Chicopee,610000,"6,315",41,0.6,6,0,2,2,0,0,0,0,4,11,0,16
Christa McAuliffe Charter Public (District),4180000,399,0,0,,,,,,0,0,0,,,,
City on a Hill Charter Public School Circuit Street (District),4370000,299,50,16.7,,,,,,,,,22,19,3,6
Clarksburg,630000,172,1,0.6,0,0,1,0,0,0,0,0,,,,
Clinton,640000,"1,639",7,0.4,0,0,0,0,0,1,0,0,2,3,1,0
Codman Academy Charter Public (District),4380000,308,2,0.6,0,0,0,0,0,0,0,0,1,0,1,0
Cohasset,650000,"1,323",2,0.2,1,0,1,0,0,0,0,0,0,0,0,0
Collegiate Charter School of Lowell (District),35030000,938,4,0.4,1,0,0,0,0,1,0,0,2,0,,
Community Charter School of Cambridge (District),4360000,304,2,0.7,,,,,,0,0,0,1,1,0,0
Community Day Charter Public School - Gateway (District),4260000,326,0,0,0,0,0,0,0,0,0,0,,,,
Community Day Charter Public School - Prospect (District),4400000,346,0,0,0,0,0,0,0,0,0,0,,,,
Community Day Charter Public School - R. Kingman Webster (District),4310000,326,0,0,0,0,0,0,0,0,0,0,,,,
Concord,670000,"1,789",4,0.2,0,2,0,1,0,0,0,1,,,,
Concord-Carlisle,6400000,"1,311",2,0.2,,,,,,,,,1,0,0,1
Conservatory Lab Charter (District),4390000,359,0,0,0,0,0,0,0,0,0,0,,,,
Conway,680000,105,0,0,0,0,0,0,0,0,,,,,,
Danvers,710000,"2,954",5,0.2,0,0,0,0,0,0,0,1,1,0,0,3
Dartmouth,720000,"3,127",15,0.5,1,0,0,1,0,0,0,0,4,5,3,1
Dedham,730000,"2,274",15,0.7,3,0,0,0,0,0,0,0,3,3,4,2
Deerfield,740000,279,0,0,0,0,0,0,0,0,,,,,,
Dennis-Yarmouth,6450000,"2,456",17,0.7,2,2,1,0,0,1,0,2,0,1,1,7
Dighton-Rehoboth,6500000,"2,386",21,0.9,0,1,0,0,1,0,0,0,11,3,0,5
Douglas,770000,"1,060",6,0.6,0,0,0,0,0,0,0,0,1,0,0,5
Dover,780000,406,0,0,0,0,0,0,0,,,,,,,
Dover-Sherborn,6550000,"1,181",0,0,,,,,,0,0,0,0,0,0,0
Dracut,790000,"3,311",16,0.5,3,1,0,0,0,0,0,0,9,3,0,0
Dudley Street Neighborhood Charter School (District),4070000,202,2,1,0,0,0,0,2,,,,,,,
Dudley-Charlton Reg,6580000,"3,143",33,1,4,0,0,0,0,0,0,1,20,3,4,1
Duxbury,820000,"2,575",3,0.1,0,0,0,0,0,1,0,0,0,0,0,2
East Bridgewater,830000,"1,877",1,0.1,0,0,0,0,0,0,0,0,0,0,1,0
East Longmeadow,870000,"2,251",6,0.3,1,0,3,0,0,1,0,1,0,0,0,0
Eastham,850000,151,0,0,0,0,0,0,0,,,,,,,
Easthampton,860000,"1,312",7,0.5,0,0,0,0,0,0,0,0,3,3,1,0
Easton,880000,"3,193",8,0.3,3,0,2,0,0,0,0,0,0,2,0,1
Edgartown,890000,337,1,0.3,0,0,0,0,0,0,1,0,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,385,0,0,,,,,,,,,0,0,0,0
Erving,910000,86,0,0,0,0,0,0,0,0,,,,,,
Essex North Shore Agricultural and Technical School District,8170000,"1,564",3,0.2,,,,,,,,,1,0,2,0
Everett,930000,"6,269",49,0.8,2,0,2,0,0,0,0,0,3,3,3,36
Excel Academy Charter (District),4100000,"1,389",3,0.2,,,,,2,1,0,0,0,0,0,0
Fairhaven,940000,"1,780",8,0.4,1,1,2,0,0,0,0,0,1,0,2,1
Fall River,950000,"9,060",103,1.1,6,3,2,1,0,0,9,5,3,34,15,25
Falmouth,960000,"2,750",21,0.8,1,0,0,0,0,0,0,0,7,11,2,0
Farmington River Reg,6620000,73,0,0,0,0,0,0,0,0,,,,,,
Fitchburg,970000,"4,687",23,0.5,3,3,3,0,0,1,1,0,0,1,5,6
Florida,980000,69,0,0,0,0,,0,0,,0,0,,,,
Four Rivers Charter Public (District),4130000,215,1,0.5,,,,,,,0,0,0,0,0,1
Foxborough,990000,"2,205",5,0.2,1,0,0,0,0,0,0,0,0,1,0,3
Foxborough Regional Charter (District),4460000,"1,566",4,0.3,1,0,0,0,1,0,0,0,2,0,0,0
Framingham,1000000,"7,878",85,1.1,3,2,1,2,0,0,0,0,36,22,14,5
Francis W. Parker Charter Essential (District),4780000,399,5,1.3,,,,,,,0,0,1,0,3,1
Franklin,1010000,"4,486",9,0.2,1,1,1,0,0,0,0,0,4,1,1,0
Franklin County Regional Vocational Technical,8180000,555,2,0.4,,,,,,,,,1,1,0,0
Freetown-Lakeville,6650000,"2,470",15,0.6,1,0,0,0,2,0,1,0,3,2,2,4
Frontier,6700000,643,5,0.8,,,,,,,0,0,0,2,2,1
Gardner,1030000,"1,993",34,1.7,1,0,0,0,0,0,1,0,22,5,2,3
Gateway,6720000,678,3,0.4,0,0,0,0,0,0,0,0,1,0,2,0
Georgetown,1050000,"1,118",1,0.1,1,0,0,0,0,0,0,0,0,0,0,0
Gill-Montague,6740000,751,2,0.3,0,1,0,0,0,0,0,0,1,0,0,0
Global Learning Charter Public (District),4960000,503,2,0.4,,,,,1,0,1,0,0,0,0,0
Gloucester,1070000,"2,469",68,2.8,5,0,1,0,0,0,0,0,37,16,6,3
Gosnold,1090000,4,,,,,,,,,,,,,,
Grafton,1100000,"2,826",6,0.2,2,0,0,0,0,0,0,0,1,2,0,1
Granby,1110000,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Fall River Regional Vocational Technical,8210000,"1,452",1,0.1,,,,,,,,,0,0,0,1
Greater Lawrence Regional Vocational Technical,8230000,"1,634",3,0.2,,,,,,,,,0,1,0,2
Greater Lowell Regional Vocational Technical,8280000,"2,278",2,0.1,,,,,,,,,0,1,1,0
Greater New Bedford Regional Vocational Technical,8250000,"2,113",5,0.2,,,,,,,,,1,0,3,1
Greenfield,1140000,"1,370",20,1.5,6,1,2,0,0,0,0,0,8,3,0,0
Greenfield Commonwealth Virtual District,39010000,911,90,9.9,0,2,0,2,1,3,1,3,39,21,14,4
Groton-Dunstable,6730000,"2,093",2,0.1,1,0,0,0,0,0,0,0,0,1,0,0
Hadley,1170000,452,3,0.7,0,0,0,0,0,0,0,0,1,0,0,2
Halifax,1180000,502,1,0.2,1,0,0,0,0,0,,,,,,
Hamilton-Wenham,6750000,"1,537",2,0.1,0,0,0,0,1,0,0,0,0,0,0,1
Hampden Charter School of Science East (District),4990000,540,9,1.7,,,,,,3,1,2,3,0,0,0
Hampden Charter School of Science West (District),35160000,320,2,0.6,,,,,,1,0,0,1,0,0,
Hampden-Wilbraham,6800000,"2,624",15,0.6,1,0,0,0,0,0,0,0,11,3,0,0
Hampshire,6830000,678,1,0.1,,,,,,,1,0,0,0,0,0
Hancock,1210000,47,1,2.1,0,0,,0,0,1,,,,,,
Hanover,1220000,"2,365",14,0.6,1,3,1,1,1,0,0,1,0,1,1,4
Harvard,1250000,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hatfield,1270000,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haverhill,1280000,"7,084",63,0.9,2,1,0,1,0,1,1,1,41,1,9,5
Hawlemont,6850000,92,0,0,0,0,0,0,0,0,,,,,,
Helen Y. Davis Leadership Academy Charter Public (District),4190000,193,2,1,,,,,,0,0,2,,,,
Hill View Montessori Charter Public (District),4550000,268,0,0,0,0,0,0,0,0,0,0,,,,
Hilltown Cooperative Charter Public (District),4500000,198,0,0,0,0,0,0,0,0,0,0,,,,
Hingham,1310000,"3,648",6,0.2,2,1,0,0,0,0,0,0,0,1,1,1
Holbrook,1330000,"1,139",29,2.5,2,0,0,0,0,0,0,0,13,8,4,2
Holland,1350000,163,0,0,0,0,0,0,0,0,,,,,,
Holliston,1360000,"2,512",4,0.2,0,0,0,0,0,0,0,0,1,0,1,2
Holyoke,1370000,"4,538",60,1.3,1,1,0,0,1,1,0,1,1,2,1,51
Holyoke Community Charter (District),4530000,645,1,0.2,0,1,0,0,0,0,0,0,,,,
Hoosac Valley Regional,6030000,932,18,1.9,0,0,0,0,0,0,0,0,9,5,1,3
Hopedale,1380000,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkinton,1390000,"3,580",2,0.1,0,0,0,0,0,0,0,0,0,1,0,1
Hudson,1410000,"2,224",27,1.2,2,5,1,1,0,0,0,0,9,4,4,1
Hull,1420000,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovation Academy Charter (District),4350000,790,20,2.5,,,,,0,0,0,1,10,5,0,4
Ipswich,1440000,"1,477",6,0.4,0,0,0,0,0,0,0,0,3,1,0,2
KIPP Academy Boston Charter School (District),4630000,548,2,0.4,1,0,1,0,0,0,0,0,,,,
KIPP Academy Lynn Charter (District),4290000,"1,490",6,0.4,0,0,1,1,0,0,0,0,2,2,0,0
King Philip,6900000,"1,940",5,0.3,,,,,,,1,1,0,1,2,0
Kingston,1450000,901,1,0.1,0,0,0,1,0,0,,,,,,
Lawrence,1490000,"11,751",130,1.1,1,0,0,3,0,0,0,0,33,37,14,42
Lawrence Family Development Charter (District),4540000,642,0,0,0,0,0,0,0,0,0,0,,,,
Learning First Charter Public School (District),4860000,594,0,0,0,0,0,0,0,0,0,0,,,,
Lee,1500000,626,4,0.6,0,0,0,0,0,1,0,1,1,1,0,0
Leicester,1510000,"1,261",10,0.8,0,0,0,1,1,0,0,0,5,3,0,0
Lenox,1520000,691,4,0.6,0,0,0,1,0,1,0,2,0,0,0,0
Leominster,1530000,"5,439",31,0.6,1,2,0,0,0,0,0,0,1,2,3,22
Leverett,1540000,101,0,0,0,0,0,0,0,0,,,,,,
Lexington,1550000,"6,535",7,0.1,0,0,0,2,0,0,0,0,0,1,0,4
Libertas Academy Charter School (District),35140000,260,6,2.3,,,,,,5,1,0,,,,
Lincoln,1570000,882,1,0.1,0,1,0,0,0,0,0,0,,,,
Lincoln-Sudbury,6950000,"1,519",7,0.5,,,,,,,,,0,4,2,1
Littleton,1580000,"1,421",13,0.9,11,0,0,0,0,0,0,0,0,0,0,2
Longmeadow,1590000,"2,544",6,0.2,0,1,0,0,0,1,1,0,0,0,0,3
Lowell,1600000,"12,529",166,1.3,7,8,2,5,2,2,0,1,68,18,15,38
Lowell Community Charter Public (District),4560000,668,5,0.7,2,2,0,1,0,0,0,0,,,,
Lowell Middlesex Academy Charter (District),4580000,88,59,67,,,,,,,,,17,15,17,10
Ludlow,1610000,"2,201",26,1.2,1,2,0,0,0,0,0,2,13,7,1,0
Lunenburg,1620000,"1,450",3,0.2,0,1,0,0,0,0,1,1,0,0,0,0
Lynn,1630000,"14,277",41,0.3,10,5,2,0,0,1,2,0,4,9,5,3
Lynnfield,1640000,"1,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATCH Charter Public School (District),4690000,"1,070",1,0.1,0,0,0,0,0,0,1,0,0,0,0,0
